hubA,hubB,road_geometry
deerPark,pasadena,"LINESTRING (-95.11678 29.689660000000007, -95.123574 29.689536000000015, -95.123363 29.679203, -95.123909 29.679201, -95.12563 29.67953099999999, -95.128147 29.681530999999996, -95.129547 29.681952, -95.150977 29.681645000000007, -95.169247 29.692442999999983, -95.169635 29.69200899999997, -95.170437 29.691788000000006, -95.193035 29.691597000000016, -95.19548 29.69088599999997)"
laredo,sanAntonio,"LINESTRING (-99.50223 27.530922999999998, -99.485729 27.645511999999986, -99.421901 27.79038099999998, -99.183178 28.675782000000012, -99.139587 28.746562999999977, -99.106728 28.859889000000024, -99.11598 28.894834000000003, -99.049757 29.027820999999985, -98.904475 29.121856999999984, -98.775448 29.24064900000001, -98.529658 29.352792000000004, -98.494636 29.424580999999986)"
centerville,waco,"LINESTRING (-95.97831 31.25797399999998, -95.987495 31.259679999999985, -95.987272 31.272614, -95.998112 31.294890999999996, -96.020977 31.378471999999995, -96.047066 31.418803999999977, -96.083013 31.458846000000012, -96.08514 31.468109000000013, -96.147293 31.473879000000004, -96.15917600000002 31.471065999999993, -96.214597 31.481211999999992, -96.22822 31.476475000000015, -96.321854 31.506905, -96.523411 31.51556599999996, -96.544023 31.524982999999995, -96.809694 31.552736999999972, -96.849374 31.535977, -96.963521 31.517404000000013, -97.009515 31.524195999999982, -97.023456 31.53346200000001, -97.093953 31.554666999999995, -97.105946 31.567039999999984, -97.117977 31.560545000000015, -97.13177 31.565289, -97.144308 31.57702400000001, -97.149504 31.571826)"
austin,waco,"LINESTRING (-97.742987 30.26758899999999, -97.733854 30.26658799999998, -97.67218300000002 30.389217999999993, -97.666147 30.454658999999996, -97.691924 30.534654999999994, -97.691649 30.63126500000001, -97.659261 30.68278300000001, -97.615382 30.805771000000014, -97.577517 30.88178800000001, -97.545482 30.920103999999988, -97.535617 30.955724000000004, -97.498828 30.991477999999987, -97.466502 31.046531000000005, -97.407167 31.084183999999986, -97.363712 31.098055000000024, -97.351779 31.121295000000003, -97.333521 31.129633000000002, -97.30054900000002 31.212805000000003, -97.223822 31.335548000000028, -97.205481 31.402076000000015, -97.129695 31.533943999999984, -97.145999 31.550147000000006, -97.136528 31.562254999999993, -97.149504 31.571826)"
baytown,laPorte,"LINESTRING (-94.996356 29.72870400000001, -94.995411 29.72760799999999, -94.996479 29.72522299999995, -94.992159 29.723723000000003, -94.99481 29.720002999999995, -95.000666 29.714121000000013, -95.013978 29.70607800000001, -95.026718 29.695766000000006, -95.029786 29.691920999999994, -95.030567 29.68883499999998, -95.030519 29.683665000000005, -95.029299 29.660774000000007, -95.030506 29.652240000000003, -95.02454 29.65249)"
austin,sonora,"LINESTRING (-97.742987 30.26758899999999, -97.77048 30.277260000000005, -97.819937 30.238670999999997, -97.93628900000002 30.23013599999998, -97.998791 30.19652800000001, -98.141587 30.206740999999997, -98.229779 30.19214600000001, -98.27980800000002 30.210999000000005, -98.375017 30.201739000000003, -98.403837 30.276873000000002, -98.759079 30.220751000000007, -98.822242 30.228348999999994, -98.886577 30.285329, -99.002622 30.300138999999987, -99.529434 30.293541000000005, -99.625338 30.398233, -99.710176 30.43589900000002, -99.740475 30.487383, -99.786107 30.513352000000015, -99.852661 30.528028, -100.211101 30.443642999999998, -100.521332 30.563182999999984, -100.644136 30.56729600000001)"
channelview,medicalCenter,"LINESTRING (-95.11203400000001 29.77785700000001, -95.114206 29.776708000000017, -95.124367 29.776975000000004, -95.124397 29.77848600000001, -95.154145 29.771227999999994, -95.18226100000001 29.77061300000001, -95.200145 29.771671999999995, -95.219678 29.770441000000012, -95.23615500000001 29.773856000000016, -95.252142 29.773839000000002, -95.280193 29.778173000000002, -95.291539 29.77784099999998, -95.301405 29.774423000000006, -95.322711 29.774206000000028, -95.335618 29.769366000000023, -95.343752 29.768535000000014, -95.34840400000002 29.766206999999994, -95.351456 29.75862400000002, -95.371314 29.734177, -95.382781 29.732571000000007, -95.393244 29.720613999999994, -95.396515 29.715358000000005, -95.393166 29.71178300000001)"
baytown,montBelvieu,"LINESTRING (-94.996356 29.72870400000001, -94.991137 29.731448000000032, -94.993602 29.731807000000003, -94.993781 29.735463, -94.986091 29.74677199999999, -94.98287500000002 29.749100000000006, -94.956488 29.751440999999993, -94.942576 29.755219, -94.929791 29.757050000000003, -94.924828 29.760000999999992, -94.913999 29.773832000000006, -94.91052700000002 29.79027200000003, -94.904625 29.80062700000002, -94.89492 29.83619399999999, -94.895436 29.847546999999995, -94.890994 29.84791900000001, -94.89192 29.850306999999994)"
chocolateBay,texasCity,"LINESTRING (-95.143739 29.197374999999973, -95.147843 29.198840000000004, -95.149897 29.20331599999999, -95.151612 29.202255000000015, -95.171651 29.230449000000014, -95.172193 29.242972, -95.168322 29.24512299999999, -95.170874 29.24670300000002, -95.14123400000001 29.273873999999992, -95.133244 29.284893999999998, -95.106586 29.30884900000002, -95.061128 29.321274000000003, -95.03465800000001 29.344414, -95.030534 29.35269700000001, -95.016174 29.34837900000001, -95.00929 29.357180999999997, -94.945868 29.358384999999988, -94.951046 29.377645999999995, -94.950636 29.395273000000007, -94.931732 29.395207000000003, -94.925086 29.392989999999987)"
channelview,houston,"LINESTRING (-95.11203400000001 29.77785700000001, -95.114206 29.776708000000017, -95.124367 29.776975000000004, -95.124397 29.77848600000001, -95.155215 29.771152999999998, -95.18226100000001 29.77061300000001, -95.200145 29.771671999999995, -95.21879 29.770431000000006, -95.23615500000001 29.773856000000016, -95.252142 29.773839000000002, -95.278971 29.778109000000008, -95.290356 29.778004000000013, -95.301405 29.774423000000006, -95.322711 29.774206000000028, -95.336606 29.769155000000012, -95.350955 29.770164999999995, -95.35967200000002 29.767238000000006, -95.36539400000001 29.769401999999996, -95.367766 29.76496900000001, -95.372045 29.76223100000001, -95.370076 29.760066000000005, -95.36952 29.760779999999993)"
