startHub,endHub,kmLength_euclid,kmLength_road,exist_pipeline
centerville,tyler,136.88436900137486,156.4181,0
sonora,abilene,224.6326991472497,249.4178,0
lubbock,amarillo,182.27046328517827,199.56789999999998,0
baytown,montBelvieu,14.971505269142023,17.877599999999997,1
laredo,sanAntonio,232.19547803164377,249.205,0
lubbock,midland,174.37456585041966,190.3914,0
collegeStation,centerville,79.69262732679358,106.4888,0
orange,portArthur,24.89861906852354,32.3897,1
texasCity,freeport,65.08311643967602,77.8219,0
collegeStation,houston,129.31251654363095,141.9424,0
sanJacinto,laPorte,94.66272840100825,125.1197,1
theWoodlands,sanJacinto,47.7884327106235,79.3515,0
chocolateBay,corpusChristi,119.03324173483396,136.1175,0
mcallen,laredo,193.12065291370882,233.6293,0
tyler,dallas,147.88722906029383,157.4278,0
leagueCity,brazoria,53.27209536498172,62.825,0
collegeStation,waco,132.39191357566236,151.6143,0
portArthur,montBelvieu,92.92805605993426,101.2709,1
centerville,texarkana,300.99268995730273,345.2526,0
fortWorth,abilene,228.79397019976156,242.9465,0
channelview,houston,24.501567902138824,26.8461,0
fortWorth,wichitaFalls,167.21597449454467,183.9781,0
midland,abilene,224.7908622030787,237.9181,0
pasadena,pearland,15.922903807166872,20.154799999999998,0
amarillo,midland,356.3241015633479,384.5766,0
abilene,wichitaFalls,198.43295509783127,245.85070000000002,0
austin,sanAntonio,118.4357018380673,128.0057,0
texarkana,tyler,166.65606431602419,186.147,0
sanJacinto,centerville,111.95019481305205,134.16770000000002,0
deerPark,leagueCity,22.062554683298515,32.834,0
sanJacinto,houston,84.65467166132818,98.1094,0
baytown,texasCity,38.01138538502652,46.5716,0
montBelvieu,channelview,23.013481197415317,25.8782,1
corpusChristi,mcallen,191.4105755381947,250.36939999999998,0
texarkana,dallas,264.07467239518155,284.09009999999995,0
odessa,vanHorn,250.0210860393853,263.1594,0
houston,sanAntonio,304.7100315921519,315.3014,1
chocolateBay,sanAntonio,205.78169552573289,229.71820000000002,0
chocolateBay,freeport,129.0626324372471,163.342,1
theWoodlands,sugarLand,62.543284190035656,78.4687,0
channelview,laPorte,15.28339969348974,27.5167,0
texasCity,chocolateBay,188.12527400120595,214.8896,1
corpusChristi,laredo,208.31242789790213,225.5564,0
odessa,amarillo,375.66397151240767,416.20279999999997,0
odessa,midland,32.08354939436859,36.667199999999994,0
killeen,waco,73.0218845295076,95.1159,0
brownsville,mcallen,80.9680257732164,94.4129,0
deerPark,houston,24.2901682908935,29.6485,0
laPorte,leagueCity,18.9832860678342,23.932299999999998,0
fortWorth,waco,134.37398335080852,143.20260000000002,0
freeport,brazoria,28.606951712219512,37.0205,1
killeen,abilene,240.9954530969098,291.74129999999997,0
elPaso,vanHorn,173.47420984914962,194.0055,0
brownsville,laredo,268.096297118302,326.9875,0
sonora,sanAntonio,242.38685910847283,274.44259999999997,0
orange,beaumont,19.4527546564934,30.358,0
baytown,channelview,13.988366831400333,17.0083,0
brownsville,corpusChristi,205.27813467806436,258.5836,0
theWoodlands,centerville,128.2379374453258,143.9829,0
deerPark,pearland,22.167793267827076,28.482599999999998,0
sonora,midland,208.91994035794008,258.6542,0
theWoodlands,houston,47.72118674633027,52.9175,0
