hub,type,latitude,longitude,status
brazoria,city,29.18161,-95.4993375,0
freeport,city,28.9541368,-95.3596617,-1
chocolateBay,city,28.5782264,-96.61216172,-1
texasCity,city,29.39013,-94.9175485,-1
laPorte,city,29.6657838,-95.0193729,-1
sanJacinto,city,30.5083577,-95.1902362,-1
deerPark,city,29.7052284,-95.1238204,-1
pasadena,city,29.6910753,-95.2092076,-1
channelview,city,29.7760599,-95.1146533,-1
montBelvieu,city,29.8477222,-94.890758,-1
baytown,city,29.7355047,-94.9774274,-1
portArthur,city,29.8988618,-93.9288723,-1
beaumont,city,30.0860459,-94.1018461,0
orange,city,30.1228634,-93.9041169,-1
elPaso,city,31.7865623,-106.441207,0
vanHorn,city,31.0429718,-104.831628,0
sonora,city,30.5667344,-100.6428592,0
midland,city,31.9973662,-102.077948,0
abilene,city,32.44645,-99.7475905,0
texarkana,city,33.44667445,-94.07714831,0
waco,city,31.549333,-97.1466695,0
centerville,city,31.2578221,-95.9785301,0
corpusChristi,city,27.7635302,-97.4033191,0
mcallen,city,26.204114,-98.2300605,0
laredo,city,27.5236998,-99.497352,0
houston,city,29.7589382,-95.3676974,1
sanAntonio,city,29.4246002,-98.4951405,1
austin,city,30.2711286,-97.7436995,1
dallas,city,32.7762719,-96.7968559,1
amarillo,city,35.2072185,-101.833824,0
brownsville,city,25.9140277,-97.4890879,0
collegeStation,city,30.5955289,-96.3071042,0
fortWorth,city,32.753177,-97.3327459,0
killeen,city,31.1171441,-97.727796,0
leagueCity,city,29.5074538,-95.0949303,0
lubbock,city,33.5635206,-101.879336,0
odessa,city,31.8457149,-102.367687,0
pearland,city,29.5639758,-95.2864299,0
sanAngelo,city,31.4649685,-100.4405094,0
sugarLand,city,29.6196787,-95.6349463,0
theWoodlands,city,30.1734194,-95.504686,-1
tyler,city,32.3512601,-95.3010624,0
wichitaFalls,city,33.9004572,-98.5020777,0
