startHub,endHub,kmLength_euclid,kmLength_road,exist_pipeline
caldwellTX,laSalleTX,218.95016347758664,273.5179,0
trinityCA,alamedaCA,352.7266416015905,471.0621,0
coconinoAZ,sanBernardinoCA,416.5642479489136,578.1959,0
sutterCA,alamedaCA,156.1582307939176,184.8955,0
martinTX,jeffDavisTX,271.993842380303,328.6118,0
sanBernardinoCA,laPazAZ,236.71228325716407,379.8767,0
lubbockTX,baylorTX,241.85220273146274,256.468,0
nacogdochesTX,100467,209.36697169553528,241.6491,0
schleicherTX,caldwellTX,302.1084848271602,409.1448,1
kinneyTX,laSalleTX,169.9072074827114,229.51510000000002,0
coconinoAZ,pinalAZ,326.7285471856522,494.4845,0
coconinoAZ,mckinleyNM,318.29015644915415,509.8609,0
dallasTX,nacogdochesTX,239.8044845304391,284.9518,0
laSalleTX,sanPatricioTX,160.57486968513123,190.3262,0
libertyTX,caldwellTX,273.11057837433617,336.23629999999997,1
millsTX,caldwellTX,205.2667153676296,229.52079999999998,0
sutterCA,fresnoCA,311.98647435217816,345.8184,0
mckinleyNM,cochiseAZ,431.44092815768715,696.0849000000001,0
mckinleyNM,sanMiguelNM,313.7896624893021,454.972,0
chavesNM,lubbockTX,246.09122042805896,283.565,0
sierraNM,jeffDavisTX,392.22453732982024,496.5174,1
dallasTX,libertyTX,344.1267234255333,390.47709999999995,1
alamedaCA,14295,63.902501646921216,79.94319999999999,0
millsTX,kinneyTX,295.472311889886,384.5061,0
schleicherTX,kinneyTX,171.1850038227414,238.38989999999998,0
trinityCA,sutterCA,218.37057383239767,315.601,0
libertyTX,100467,51.00087139474496,65.8498,0
laPazAZ,cochiseAZ,444.7366299332062,523.9625,0
nacogdochesTX,libertyTX,163.22636780140667,203.0891,0
sanBernardinoCA,losAngelesCA,196.39664192505492,279.1437,0
baylorTX,dallasTX,245.15327429849438,307.3567,0
fresnoCA,sanBernardinoCA,378.57146057989485,468.45759999999996,0
carsonTX,martinTX,347.69559165921413,403.877,0
caldwellTX,100467,241.94541997054364,276.5013,0
baylorTX,taylorTX,158.4904928591072,188.0592,0
sanMiguelNM,carsonTX,313.38724197508685,402.59159999999997,0
millsTX,schleicherTX,196.72357495150627,250.3954,0
caldwellTX,brooksTX,315.99991529919964,347.6081,0
sanMiguelNM,sierraNM,340.6765333492572,491.3936,0
martinTX,schleicherTX,205.8374019459866,259.6214,0
fresnoCA,losAngelesCA,299.16216138401995,342.0571,0
taylorTX,schleicherTX,167.6463672701608,195.8617,0
taylorTX,martinTX,193.65459165596542,225.9,0
pinalAZ,cochiseAZ,188.00606837683284,239.5285,1
dallasTX,caldwellTX,334.5572151862676,370.00140000000005,1
jeffDavisTX,schleicherTX,344.78039749930934,442.59770000000003,1
kinneyTX,brooksTX,334.3660256293746,452.49940000000004,0
sutterCA,14295,126.00408436571233,137.4096,0
coconinoAZ,laPazAZ,309.61922349029106,418.21229999999997,0
baylorTX,millsTX,241.22310378012196,348.6503,0
taylorTX,millsTX,151.42580328446718,191.54829999999998,0
carsonTX,baylorTX,279.4515347875014,344.7862,0
trinityCA,14295,340.98861110334855,451.30559999999997,0
chavesNM,jeffDavisTX,294.7190620291304,387.9846,0
caldwellTX,kinneyTX,275.1532644937061,316.5078,0
sanPatricioTX,brooksTX,128.4249914574669,157.7136,0
laPazAZ,pinalAZ,260.7818546551251,320.8621,1
sierraNM,cochiseAZ,277.3194715306286,406.6224,1
caldwellTX,sanPatricioTX,203.72191678474468,230.6562,0
laPazAZ,losAngelesCA,396.9710134437889,464.12870000000004,1
coconinoAZ,cochiseAZ,475.59491280028345,697.5848000000001,0
alamedaCA,fresnoCA,222.41319721348958,259.0603,0
carsonTX,lubbockTX,203.07683998627377,249.7241,0
lubbockTX,taylorTX,231.19153268095374,272.4405,0
lubbockTX,martinTX,145.27511530245133,157.4747,0
fresnoCA,14295,197.1259902457382,212.87879999999998,0
chavesNM,sierraNM,255.0844275891362,364.81759999999997,0
sanMiguelNM,chavesNM,237.42805777676503,347.7276,0
laSalleTX,brooksTX,168.50726805362848,231.15779999999998,0
sanMiguelNM,lubbockTX,343.8146168921232,490.246,0
chavesNM,martinTX,261.9201669359818,323.6318,0
alamedaCA,losAngelesCA,495.00180470694136,549.5623,1
dallasTX,millsTX,221.77553789603076,269.896,0
mckinleyNM,sierraNM,288.78007679012154,418.5142,0
