startHub,endHub,road_geometry
caldwellTX,laSalleTX,"LINESTRING (-97.626413 29.841661999999996, -97.687507 29.878904, -97.877509 29.722304000000005, -97.880262 29.608233000000027, -97.971099 29.598783, -98.045937 29.54922299999998, -98.414962 29.429110999999992, -98.445615 29.402312000000006, -98.510938 29.396350999999996, -98.52975 29.352962, -98.776017 29.240622, -98.904399 29.122268999999985, -99.048626 29.029845000000023, -99.116069 28.895456000000006, -99.107197 28.85942700000001, -99.183285 28.676610000000007, -99.238012 28.45160399999998, -99.153405 28.353544000000003, -99.11058800000002 28.332964000000008)"
trinityCA,alamedaCA,"LINESTRING (-123.100329 40.641175, -123.13379300000001 40.64573299999998, -123.097414 40.694647, -123.034569 40.691114000000006, -123.063164 40.72803899999998, -122.97261800000001 40.74642199999999, -122.924295 40.71206699999999, -122.94065700000002 40.651354, -122.830811 40.675294, -122.73685100000002 40.633769999999984, -122.65009299999998 40.671631999999995, -122.48160300000002 40.591007, -122.36392000000001 40.58513099999999, -122.29000800000001 40.44906000000002, -122.200492 39.96601900000001, -122.180601 39.21049800000001, -121.93995900000002 38.84321700000001, -121.95471600000002 38.373597, -122.13771500000001 38.217527, -122.10331 38.105698, -122.13062 38.051317000000004, -122.052732 37.9597, -122.07084800000001 37.896271999999996, -121.87734400000001 37.64303000000002)"
coconinoAZ,sanBernardinoCA,"LINESTRING (-111.763491 35.83494299999999, -111.810919 35.85185100000001, -111.886156 35.838207000000004, -111.908078 35.818362, -112.00442 35.833856999999995, -112.072854 35.803324999999994, -112.130979 35.803651999999985, -112.177527 35.47723700000001, -112.166471 35.345348, -112.141475 35.29706999999997, -112.150884 35.26111300000001, -112.184091 35.263346000000006, -112.239463 35.22507000000001, -112.281186 35.21958099999999, -112.54219 35.221207, -112.660425 35.239751000000005, -112.922806 35.32309500000001, -113.118265 35.286719, -113.316211 35.19036499999997, -113.412034 35.19497699999999, -113.558354 35.15893999999998, -113.698673 35.159521, -113.832937 35.194004, -114.045294 35.21539999999999, -114.116395 35.10960699999999, -114.155289 34.900535, -114.14925 34.809968, -114.265102 34.73279200000001, -114.52972500000001 34.718557, -114.614999 34.846704999999986, -114.698806 34.891742, -115.02738 34.829649, -115.370155 34.80360300000001, -115.558705 34.733457999999985, -115.738829 34.71695799999999, -115.88016099999999 34.73659999999997, -116.044063 34.71590900000002, -116.24541700000002 34.726935, -116.38943 34.77769499999999, -116.219216 34.88901000000001)"
sutterCA,alamedaCA,"LINESTRING (-121.688215 39.03444299999999, -121.67207 38.96809899999998, -121.71872600000002 38.84081300000001, -121.728513 38.67752899999999, -121.75294600000001 38.677261, -121.76655000000001 38.62393800000001, -121.76985200000001 38.521047, -122.01479299999998 38.33914899999999, -122.07017800000001 38.249506999999994, -122.137945 38.216716, -122.10331 38.105698, -122.130412 38.05040100000002, -122.052732 37.9597, -122.07103099999999 37.896616000000016, -121.99483800000002 37.824881, -121.907775 37.66340299999999, -121.87734400000001 37.64303000000002)"
martinTX,jeffDavisTX,"LINESTRING (-101.95097 32.30562000000001, -101.930834 32.306837000000016, -101.866044 32.101651999999966, -101.97686 32.04808199999999, -102.03994 31.981904000000004, -102.120872 31.96048300000001, -102.34348 31.831241999999975, -102.42546300000001 31.816988, -102.609605 31.731054000000004, -102.87694200000001 31.579295999999992, -103.327759 31.475238000000008, -103.398096 31.419714000000006, -103.49842 31.39589000000001, -103.556228 31.40649799999998, -103.739068 31.340999999999994, -103.854305 31.269380999999996, -104.056083 31.09127299999999, -104.156805 31.06100699999999, -104.217538 31.06702900000001, -104.148109 30.92270699999999, -104.16787500000001 30.78852400000001, -104.13918900000002 30.715475999999995)"
sanBernardinoCA,laPazAZ,"LINESTRING (-116.219216 34.88901000000001, -116.321296 34.83350699999999, -116.38943 34.77769499999999, -116.45280600000001 34.787559999999985, -116.367981 34.77239599999999, -116.312359 34.738908000000016, -116.242904 34.72633800000003, -116.08331599999998 34.727371, -116.04192600000002 34.714276000000005, -115.883726 34.734502, -115.736963 34.716482, -115.558993 34.732715, -115.36930900000002 34.803110000000004, -115.314034 34.800985, -115.02738400000001 34.829290000000015, -114.923813 34.85778899999998, -114.86091600000002 34.85976, -114.785081 34.882425, -114.75402700000001 34.87797800000002, -114.69836699999999 34.891289, -114.667527 34.881295999999985, -114.61554 34.84686, -114.59721100000002 34.823404, -114.60897 34.79365100000001, -114.59701300000002 34.757464000000006, -114.641198 34.61759300000002, -114.63104299999999 34.59633399999999, -114.642727 34.58121100000001, -114.649041 34.519805000000005, -114.655187 34.37255399999999, -114.641039 34.233713, -114.600366 34.193421000000015, -114.574144 34.18849799999999, -114.502935 34.197054000000016, -114.401815 34.18459500000001, -114.351166 34.156842999999995, -114.301813 34.16473200000002, -114.280997 34.136887000000016, -114.276361 34.09345800000001, -114.257769 34.065819, -114.258217 34.031936, -114.241982 34.007991000000025, -114.209627 33.99308200000001, -114.078869 33.99062299999999, -114.045628 33.973877, -113.990845 33.91331600000001, -113.922609 33.86415100000001, -113.922609 33.76813599999999, -113.94001 33.768069, -113.940498 33.729476000000005)"
lubbockTX,baylorTX,"LINESTRING (-101.820146 33.612808000000015, -101.791597 33.59986699999999, -101.734368 33.646541, -101.683221 33.66667999999997, -101.366934 33.674192000000005, -101.307376 33.659997999999995, -101.201138 33.657327, -101.066252 33.683263, -101.001156 33.684195999999986, -100.933956 33.644338999999995, -100.855691 33.619796999999984, -100.819647 33.62619500000001, -100.498286 33.60174299999999, -100.42948 33.623862, -100.343709 33.63365100000003, -100.317785 33.60064400000001, -100.20483700000001 33.568691000000015, -100.091631 33.549508, -99.976409 33.582277000000005, -99.70972900000001 33.58804899999999, -99.568709 33.63379699999999, -99.316413 33.59565800000001, -99.234503 33.59588500000002, -99.2337 33.61062799999999, -99.210454 33.61036299999999)"
nacogdochesTX,100467,"LINESTRING (-94.614162 31.619784000000003, -94.624543 31.58080900000002, -94.671991 31.577304000000023, -94.726 31.476501000000003, -94.69017 31.331025000000004, -94.727001 31.30990899999999, -94.766229 31.232630999999994, -94.75521400000001 31.191557999999997, -94.80847 31.139433000000025, -94.826664 30.910588999999998, -94.875747 30.802166999999997, -94.952454 30.717459000000012, -94.946195 30.577173, -95.225592 30.140142999999995, -95.295133 29.942727000000023, -95.202311 29.928614000000007, -95.161532 29.790462999999995, -95.123957 29.779002000000016)"
schleicherTX,caldwellTX,"LINESTRING (-100.541903 30.896951999999995, -100.621381 30.838381000000002, -100.648406 30.57809300000001, -100.52205300000001 30.563027000000005, -100.210509 30.443250000000017, -99.852491 30.527758, -99.779732 30.510993, -99.709973 30.435397999999985, -99.624573 30.396880000000028, -99.543631 30.299144000000005, -99.379999 30.204005000000013, -99.243796 30.164497999999995, -99.224913 30.128578999999995, -99.135618 30.074124999999988, -99.010736 30.052161000000016, -98.896893 29.976541000000005, -98.791015 29.86721499999998, -98.749064 29.788481999999988, -98.664526 29.71785899999999, -98.599417 29.589586999999995, -98.521424 29.608490999999997, -98.362455 29.602745, -98.332334 29.56652600000002, -98.096405 29.697805000000002, -97.921603 29.881763, -97.841318 29.845508, -97.792795 29.879116000000007, -97.670416 29.88502800000001, -97.626413 29.841661999999996)"
kinneyTX,laSalleTX,"LINESTRING (-100.422247 29.348015000000007, -100.420519 29.339659999999984, -100.406477 29.339513000000007, -100.418663 29.309276999999994, -100.412059 29.305675999999984, -100.17363500000002 29.24061, -100.127597 29.23179600000001, -100.07761 29.243293999999985, -99.879628 29.202451999999997, -99.814271 29.19937800000001, -99.78615500000001 29.209594, -99.747298 29.106348999999998, -99.622565 28.960552000000014, -99.513475 28.951658999999996, -99.495555 28.94062999999999, -99.301426 28.94447900000002, -99.270838 28.94761100000002, -99.243069 28.972254000000007, -99.116603 28.901154, -99.107197 28.85942700000001, -99.140628 28.744884000000006, -99.183285 28.676610000000007, -99.178826 28.64075300000002, -99.238012 28.45160399999998, -99.235169 28.436855000000005, -99.222941 28.442434000000006, -99.211558 28.435051999999995, -99.195153 28.394102999999994, -99.153405 28.353544000000003, -99.11058800000002 28.332964000000008)"
coconinoAZ,pinalAZ,"LINESTRING (-111.763491 35.83494299999999, -112.130979 35.803651999999985, -112.177527 35.47723700000001, -112.15152600000002 35.259886000000016, -111.851873 35.247392000000005, -111.666614 35.172768, -111.685468 34.97429300000002, -111.598037 34.80363399999999, -111.911516 34.539720999999986, -111.979354 34.531818, -112.116662 34.362821000000004, -112.151146 34.12862599999998, -112.108209 33.43255700000002, -111.969728 33.406275999999984, -111.968576 33.28197800000001, -111.754425 33.00096400000003, -111.38819 33.01956500000001, -111.299291 32.92238600000002, -111.348312 32.914475)"
coconinoAZ,mckinleyNM,"LINESTRING (-111.763491 35.83494299999999, -111.788117 35.83956700000002, -111.801584 35.87974499999999, -111.784459 35.895681, -111.72466 35.897269999999985, -111.700593 35.939674, -111.572394 35.92017499999997, -111.479197 35.85926100000001, -111.425239 35.854960999999996, -111.504363 35.69075999999999, -111.554749 35.492764999999984, -111.580906 35.38164499999998, -111.542979 35.323927, -111.542303 35.282336000000015, -111.581627 35.215718, -111.408947 35.202027000000015, -111.164522 35.12234699999999, -110.914725 35.09130100000001, -110.693466 35.038712999999994, -110.67406 35.017604, -110.523489 34.97484200000002, -110.316527 34.954750000000004, -110.243707 34.91252000000001, -110.192914 34.90492400000002, -110.144165 34.917829999999995, -110.084569 34.97412, -109.88015 35.00532399999998, -109.768667 35.06600500000002, -109.604682 35.10619299999999, -109.44970500000001 35.185922000000005, -109.340133 35.21229199999999, -109.25418400000001 35.27751600000001, -109.177881 35.280186000000015, -109.120722 35.304333, -108.932946 35.469053000000024, -108.762022 35.527837999999996, -108.598775 35.528905, -108.224404 35.396173, -108.152433 35.42078499999999, -108.132769 35.53109900000001, -108.200948 35.532864000000004, -108.254599 35.56152800000001, -108.231847 35.574386000000004, -108.256281 35.582342999999995)"
dallasTX,nacogdochesTX,"LINESTRING (-96.774342 32.77359400000002, -96.760339 32.79050000000003, -96.675385 32.79911900000001, -96.495404 32.772725, -96.44763200000001 32.742255, -96.358872 32.73957200000003, -96.271862 32.69992299999998, -95.903186 32.597625999999984, -95.687281 32.514646, -95.461753 32.470570000000016, -95.346421 32.468394999999994, -95.277353 32.451994000000006, -95.199876 32.452241, -95.121687 32.43772299999998, -95.068122 32.44197399999999, -94.926607 32.432017000000016, -94.881016 32.380128, -94.869063 32.379560000000005, -94.868535 32.28687800000002, -94.855772 32.24384900000001, -94.838213 32.212456999999986, -94.788302 32.17166199999999, -94.790981 32.14527700000001, -94.683268 31.925827999999978, -94.67822 31.70818, -94.655953 31.652017999999998, -94.616811 31.64249600000001, -94.614162 31.619784000000003)"
laSalleTX,sanPatricioTX,"LINESTRING (-99.11058800000002 28.332964000000008, -99.0496 28.273029, -99.030372 28.202088999999994, -98.778504 28.20229299999998, -98.58728500000001 28.133245000000013, -98.538737 28.131967999999993, -98.492429 28.106140999999997, -98.196833 28.100772000000013, -98.04115 27.978851999999982, -97.976838 27.97785200000002, -97.902057 27.93809400000001, -97.677924 27.860000000000003, -97.629714 27.856002999999998, -97.621975 27.86499500000001, -97.629532 27.90572599999999, -97.523408 28.017715000000013, -97.52155200000001 28.006660999999994, -97.511316 28.006486999999975)"
libertyTX,caldwellTX,"LINESTRING (-94.815759 30.15628899999999, -94.868254 30.176666000000004, -94.88804000000002 30.156959, -94.857919 30.100475000000007, -94.886274 30.046520999999984, -95.032559 29.93670499999999, -95.077284 29.873062, -95.198847 29.82286099999998, -95.258415 29.77519300000002, -96.12232 29.775790000000026, -96.542557 29.692029999999995, -97.240115 29.692607000000006, -97.296843 29.669885, -97.488961 29.649511000000007, -97.593308 29.65315900000001, -97.64756 29.68051400000001, -97.668488 29.861559000000007, -97.626413 29.841661999999996)"
millsTX,caldwellTX,"LINESTRING (-98.59053000000002 31.499651999999973, -98.558216 31.40061800000001, -98.380079 31.193141000000004, -98.311395 31.139119000000004, -98.188152 31.083953, -98.176772 31.052152999999986, -98.104297 30.993182, -97.921134 30.882898000000008, -97.87706 30.774884999999998, -97.879041 30.659634999999994, -97.819915 30.554674999999996, -97.790403 30.447871, -97.748533 30.42326600000001, -97.712705 30.347784000000026, -97.662966 30.315109000000007, -97.69107 30.246923000000002, -97.692798 30.06394099999998, -97.678066 29.899788000000004, -97.658378 29.856239000000002, -97.626413 29.841661999999996)"
