arc_start,arc_end,dist_capacity,dist_cost_capital,dist_cost_fixed,dist_cost_variable,dist_flowLimit,dist_h,dist_km,total_cost
100467_converter_fuelDispenserLiquid,100467_demand_fuelStation,1.0,0.0,0.0,0.0,99999999.9,12.49699656664611,0.0,0.0
100467_demand_fuelStation,100467_demandSector_transportationFuel,1.0,0.0,0.0,0.0,99999999.9,12.49699656664611,0.0,0.0
100467_dist_truckLiquefied,100467_converter_fuelDispenserLiquid,4.0,0.0,0.0,0.0,4.0,12.49699656664611,0.0,0.0
14295_converter_fuelDispenserLiquid,14295_demand_fuelStation,1.0,0.0,0.0,0.0,99999999.9,12.499771080860826,0.0,0.0
14295_demand_fuelStation,14295_demandSector_transportationFuel,1.0,0.0,0.0,0.0,99999999.9,12.499771084636674,0.0,0.0
14295_dist_truckLiquefied,14295_converter_fuelDispenserLiquid,4.0,0.0,0.0,0.0,4.0,12.499771080860826,0.0,0.0
alamedaCA_center_highPurity,alamedaCA_converter_liquefaction,1.0,0.0,0.0,0.0,99999999.9,12.499771080860826,0.0,0.0
alamedaCA_center_lowPurity,alamedaCA_converter_purification,1.0,0.0,0.0,0.0,99999999.9,12.499771080860826,0.0,0.0
alamedaCA_converter_liquefaction,alamedaCA_converter_terminalLiquid,1.0,0.0,0.0,0.0,99999999.9,12.499771080860826,0.0,0.0
alamedaCA_converter_purification,alamedaCA_center_highPurity,1.0,0.0,0.0,0.0,99999999.9,12.499771080860826,0.0,0.0
alamedaCA_converter_terminalLiquid,alamedaCA_dist_truckLiquefied,4.0,1461.8342156118645,0.0,0.0,99999999.9,12.499771080860826,0.0,1461.8342156118645
alamedaCA_dist_truckLiquefied,14295_dist_truckLiquefied,4.0,0.0,0.0,4996.358497357365,4.0,12.499771080860826,79.94319999999999,4996.358497357365
alamedaCA_production_smr-CCS,alamedaCA_center_lowPurity,1.0,0.0,0.0,0.0,99999999.9,12.499771080860826,0.0,0.0
libertyTX_center_highPurity,libertyTX_converter_liquefaction,1.0,0.0,0.0,0.0,99999999.9,12.49699656664611,0.0,0.0
libertyTX_center_lowPurity,libertyTX_converter_purification,1.0,0.0,0.0,0.0,99999999.9,12.49699656664611,0.0,0.0
libertyTX_converter_liquefaction,libertyTX_converter_terminalLiquid,1.0,0.0,0.0,0.0,99999999.9,12.49699656664611,0.0,0.0
libertyTX_converter_purification,libertyTX_center_highPurity,1.0,0.0,0.0,0.0,99999999.9,12.49699656664611,0.0,0.0
libertyTX_converter_terminalLiquid,libertyTX_dist_truckLiquefied,4.0,1461.8342156118645,0.0,0.0,99999999.9,12.49699656664611,0.0,1461.8342156118645
libertyTX_dist_truckLiquefied,100467_dist_truckLiquefied,4.0,0.0,0.0,4114.623622571666,4.0,12.49699656664611,65.8498,4114.623622571666
libertyTX_production_smr-CCS,libertyTX_center_lowPurity,1.0,0.0,0.0,0.0,99999999.9,12.49699656664611,0.0,0.0
