startHub,endHub,road_geometry
centerville,tyler,"LINESTRING (-95.978528 31.257975999999974, -95.987495 31.259679999999985, -96.020977 31.378471999999995, -96.075187 31.452064000000004, -95.94507000000002 31.540907999999988, -95.846569 31.586297999999992, -95.806418 31.64326700000001, -95.763961 31.654358999999992, -95.714399 31.707571, -95.660892 31.739302, -95.644958 31.767636000000014, -95.629635 31.771237999999993, -95.579488 31.86101400000001, -95.547005 31.898280999999997, -95.522276 32.02797600000002, -95.506322 32.04849499999999, -95.479751 32.139194999999994, -95.45806 32.154266, -95.373431 32.27192500000001, -95.311283 32.332252, -95.300691 32.331025, -95.300661 32.351262)"
sonora,abilene,"LINESTRING (-100.643031 30.566985999999986, -100.621841 30.83654900000001, -100.585301 30.879841000000003, -100.574218 30.984938000000003, -100.51213 31.059853000000018, -100.511358 31.172370999999995, -100.442753 31.319553000000013, -100.4333 31.390922999999994, -100.37374 31.386609000000007, -100.386225 31.47752199999998, -100.368806 31.57463000000001, -100.285489 31.739188999999996, -100.276567 32.01478000000001, -100.20827 32.070572, -100.126983 32.09718400000001, -100.04805 32.22053500000001, -99.922729 32.285736000000014, -99.89039100000001 32.338913000000005, -99.747886 32.44645199999999)"
lubbock,amarillo,"LINESTRING (-101.879121 33.563524, -101.855367 33.56332299999998, -101.835414 33.628395, -101.853389 34.04647700000002, -101.749942 34.12942099999998, -101.74938600000002 34.196803000000024, -101.708384 34.237081, -101.776408 34.38346400000002, -101.793432 34.57990400000001, -101.847196 34.721329000000004, -101.848739 34.943046999999986, -101.918662 35.02407700000003, -101.908786 35.11801300000002, -101.841333 35.178276999999994, -101.833821 35.207234)"
baytown,montBelvieu,"LINESTRING (-94.97759300000001 29.735551000000005, -94.981158 29.740439000000006, -94.977134 29.745384000000012, -94.977096 29.749645, -94.958727 29.751054999999972, -94.942576 29.755219, -94.929791 29.757050000000003, -94.924828 29.760000999999992, -94.921591 29.765390000000007, -94.914898 29.772183000000005, -94.91052700000002 29.79027200000003, -94.904625 29.80062700000002, -94.89492 29.83619399999999, -94.895436 29.847546999999995, -94.890783 29.847938000000003)"
laredo,sanAntonio,"LINESTRING (-99.496852 27.52370100000001, -99.485729 27.645511999999986, -99.421901 27.79038099999998, -99.183178 28.675782000000012, -99.139587 28.746562999999977, -99.106728 28.859889000000024, -99.11598 28.894834000000003, -99.049757 29.027820999999985, -98.904475 29.121856999999984, -98.775448 29.24064900000001, -98.529658 29.352792000000004, -98.495383 29.424529999999994)"
lubbock,midland,"LINESTRING (-101.879121 33.563524, -101.845649 33.563312999999994, -101.844207 33.456596999999995, -101.806724 33.37074700000001, -101.806987 33.006524000000006, -101.95123100000002 32.750225999999984, -101.926992 32.707264, -101.959202 32.69058599999999, -102.035191 32.52412999999998, -102.172635 32.328414, -102.07795 31.997434000000005)"
collegeStation,centerville,"LINESTRING (-96.30714 30.595494999999985, -96.296975 30.60414600000001, -96.289458 30.603023999999998, -96.290949 30.61241100000001, -96.35812800000001 30.697063999999973, -96.316131 30.74244999999999, -96.26497800000001 30.78152300000001, -96.223381 30.823622000000007, -96.206065 30.856173000000002, -96.185621 30.87552700000004, -96.170104 30.88883000000003, -96.098568 30.918863999999985, -96.08341 30.917578000000006, -96.07269800000002 30.922623000000012, -95.980448 30.913282, -95.911512 30.950136999999998, -95.922762 31.015671999999995, -95.944334 31.044079000000025, -95.975515 31.122491000000007, -95.99632700000001 31.208476000000005, -95.987848 31.25602100000001, -95.978528 31.257975999999974)"
orange,portArthur,"LINESTRING (-93.903742 30.122599999999977, -93.90785 30.120615000000004, -93.907918 30.116495000000004, -93.907351 30.105180000000008, -93.903551 30.105050999999996, -93.905346 30.09852900000001, -93.902787 30.051645999999995, -93.888805 30.03957899999997, -93.869527 30.039482000000014, -93.84597 30.033822999999998, -93.845768 30.021386000000007, -93.86728100000002 29.999523999999997, -93.876798 29.958258, -93.928811 29.89882)"
texasCity,freeport,"LINESTRING (-94.917544 29.395026000000016, -94.951588 29.395390999999986, -94.94639700000002 29.358405000000005, -95.00929 29.357180999999997, -95.016174 29.34837900000001, -95.030534 29.35269700000001, -95.061128 29.321274000000003, -95.105921 29.30942399999999, -95.252425 29.17470999999999, -95.259686 29.142078000000005, -95.242562 29.128163000000008, -95.341816 29.048307000000005, -95.327637 29.028907999999994, -95.328151 28.997272999999996, -95.359698 28.954035999999974)"
collegeStation,houston,"LINESTRING (-96.30714 30.595494999999985, -96.292787 30.593878000000007, -96.102192 30.41400399999999, -96.074742 30.401654999999977, -96.067871 30.376226999999986, -96.0246 30.369485, -95.995289 30.353144000000015, -95.965673 30.35555199999999, -95.927947 30.309015999999993, -95.824685 30.293994999999995, -95.779799 30.250813000000004, -95.743302 30.246873999999988, -95.73598400000002 30.229849000000005, -95.679212 30.18003399999998, -95.629289 30.072458999999995, -95.561211 29.970518000000006, -95.46252 29.898242000000007, -95.429342 29.897978000000016, -95.410127 29.87344199999999, -95.37405400000002 29.810058000000023, -95.36786300000001 29.758731)"
