arc_start,arc_end,dist_capacity,dist_cost_capital,dist_cost_fixed,dist_cost_variable,dist_flowLimit,dist_h
abilene_center_highPurity,abilene_dist_pipelineHighPurity,1.0,0.0,0.0,0.0,99999999.9,294.99999999999864
abilene_center_lowPurity,abilene_converter_purification,1.0,0.0,0.0,0.0,99999999.9,294.99999999999864
abilene_converter_fuelDispenserPipeline,abilene_demand_fuelStation,1.0,0.0,0.0,0.0,99999999.9,23.749999999999947
abilene_converter_purification,abilene_center_highPurity,1.0,0.0,0.0,0.0,99999999.9,294.99999999999864
abilene_demand_fuelStation,abilene_demandSector_transportationFuel_carbonSensitive,1.0,0.0,0.0,0.0,99999999.9,23.749999999999943
abilene_dist_pipelineHighPurity,abilene_converter_fuelDispenserPipeline,1.0,0.0,0.0,0.0,999999.0,23.749999999999947
abilene_dist_pipelineHighPurity,midland_dist_pipelineHighPurity,1.0,248673728.92906195,36599.261815352496,23.764750000000003,999999.0,271.2499999999987
abilene_dist_pipelineLowPurity,abilene_center_lowPurity,1.0,0.0,0.0,0.0,99999999.9,294.99999999999864
amarillo_converter_fuelDispenserPipeline,amarillo_demand_fuelStation,1.0,0.0,0.0,0.0,99999999.9,38.74999999999994
amarillo_demand_fuelStation,amarillo_demandSector_transportationFuel_carbonSensitive,1.0,0.0,0.0,0.0,99999999.9,38.74999999999994
amarillo_dist_pipelineHighPurity,amarillo_converter_fuelDispenserPipeline,1.0,0.0,0.0,0.0,999999.0,38.74999999999994
austin_converter_fuelDispenserPipeline,austin_demand_fuelStation,1.0,0.0,0.0,0.0,99999999.9,442.4999999999995
austin_demand_fuelStation,austin_demandSector_transportationFuel_carbonSensitive,1.0,0.0,0.0,0.0,99999999.9,442.4999999999997
austin_dist_pipelineHighPurity,austin_converter_fuelDispenserPipeline,1.0,0.0,0.0,0.0,999999.0,442.4999999999995
austin_dist_pipelineHighPurity,sanAntonio_dist_pipelineHighPurity,1.0,131808566.27185343,19399.299826585033,12.81755,999999.0,496.24999999999983
baytown_center_lowPurity,baytown_dist_pipelineLowPurity,1.0,0.0,0.0,0.0,99999999.9,390.4199999996016
baytown_dist_pipelineLowPurity,sanJacinto_dist_pipelineLowPurity,1.0,0.0,16772.60170402558,11.14215,999999.0,585.6299999803767
baytown_production_smr-noCCSExisting,baytown_center_lowPurity,1.0,0.0,0.0,0.0,99999999.9,390.4199999996016
brownsville_center_highPurity,brownsville_dist_pipelineHighPurity,1.0,0.0,0.0,0.0,99999999.9,34.99999999999994
brownsville_center_lowPurity,brownsville_converter_purification,1.0,0.0,0.0,0.0,99999999.9,34.99999999999994
brownsville_converter_fuelDispenserPipeline,brownsville_demand_fuelStation,1.0,0.0,0.0,0.0,99999999.9,34.99999999999994
brownsville_converter_purification,brownsville_center_highPurity,1.0,0.0,0.0,0.0,99999999.9,34.99999999999994
brownsville_demand_fuelStation,brownsville_demandSector_transportationFuel_carbonSensitive,1.0,0.0,0.0,0.0,99999999.9,34.99999999999994
brownsville_dist_pipelineHighPurity,brownsville_converter_fuelDispenserPipeline,1.0,0.0,0.0,0.0,999999.0,34.99999999999994
brownsville_dist_pipelineLowPurity,brownsville_center_lowPurity,1.0,0.0,0.0,0.0,99999999.9,34.99999999999994
centerville_dist_pipelineLowPurity,waco_dist_pipelineLowPurity,1.0,136788872.2553094,20132.29049429271,13.2499,999999.0,2761.2499999999973
channelview_center_lowPurity,channelview_dist_pipelineLowPurity,1.0,0.0,0.0,0.0,99999999.9,195.2099999987493
channelview_dist_pipelineLowPurity,deerPark_dist_pipelineLowPurity,1.0,0.0,2195.304325313963,1.4604300000000001,999999.0,59.380000000013666
channelview_dist_pipelineLowPurity,pasadena_dist_pipelineLowPurity,1.0,0.0,2902.299856304778,1.9307600000000003,999999.0,135.83000000026138
channelview_production_smr-noCCSExisting,channelview_center_lowPurity,1.0,0.0,0.0,0.0,99999999.9,195.2099999987493
chocolateBay_center_highPurity,chocolateBay_dist_pipelineHighPurity,1.0,0.0,0.0,0.0,99999999.9,25.000000000001062
chocolateBay_center_lowPurity,chocolateBay_converter_purification,1.0,0.0,0.0,0.0,99999999.9,25.000000000001062
chocolateBay_converter_fuelDispenserPipeline,chocolateBay_demand_fuelStation,1.0,0.0,0.0,0.0,99999999.9,24.99999999999994
chocolateBay_converter_purification,chocolateBay_center_highPurity,1.0,0.0,0.0,0.0,99999999.9,25.000000000001062
chocolateBay_demand_fuelStation,chocolateBay_demandSector_transportationFuel_carbonSensitive,1.0,0.0,0.0,0.0,99999999.9,24.999999999999947
chocolateBay_dist_pipelineHighPurity,chocolateBay_converter_fuelDispenserPipeline,1.0,0.0,0.0,0.0,999999.0,24.99999999999994
chocolateBay_dist_pipelineLowPurity,chocolateBay_center_lowPurity,1.0,0.0,0.0,0.0,99999999.9,25.000000000001062
chocolateBay_dist_pipelineLowPurity,corpusChristi_dist_pipelineLowPurity,1.0,139083450.292651,20470.001529174002,13.63303,999999.0,176.2499999999997
corpusChristi_center_highPurity,corpusChristi_dist_pipelineHighPurity,1.0,0.0,0.0,0.0,99999999.9,63.74999999999994
corpusChristi_center_lowPurity,corpusChristi_converter_purification,1.0,0.0,0.0,0.0,99999999.9,63.74999999999994
corpusChristi_converter_fuelDispenserPipeline,corpusChristi_demand_fuelStation,1.0,0.0,0.0,0.0,99999999.9,63.74999999999994
corpusChristi_converter_purification,corpusChristi_center_highPurity,1.0,0.0,0.0,0.0,99999999.9,63.74999999999994
corpusChristi_demand_fuelStation,corpusChristi_demandSector_transportationFuel_carbonSensitive,1.0,0.0,0.0,0.0,99999999.9,63.74999999999994
corpusChristi_dist_pipelineHighPurity,corpusChristi_converter_fuelDispenserPipeline,1.0,0.0,0.0,0.0,999999.0,63.74999999999994
