producer,prod_capacity,prod_utilization,prod_h,prod_cost_capital,prod_cost_fixed,prod_cost_variable,prod_e_price,prod_ng_price,h2_tax_credit,co2_emissions_rate,ccs_capture_rate,chec_per_ton,prod_checs,prod_e,prod_ng,ccs_retrofit_variable_costs,co2_emitted,carbon_tax,co2_captured,carbon_capture_tax_credit,total_cost
austin_production_smr-high,393.33506666666665,0.9,354.00156,272864.8496323066,22847.089798766956,31860.1404,29301.167380467436,226534.43610357633,243907.07484,0.8999999999999998,0.9,0.9,318.601404,676850.98272,54162.238679999995,0.0,318.6014039999999,0.0,2867.4126359999996,143370.63179999997,196129.97667511727
baytown_production_smr-noCCSExisting,482.0,0.9,433.8,0.0,0.0,43380.0,12836.596205952,258642.98645163843,298888.2,0.8999999999999998,0.9,0.9,390.42,277632.0,62467.200000000004,245964.6,390.4199999999999,0.0,3513.78,175689.0,86246.98265759036
channelview_production_smr-noCCSExisting,241.0,0.9,216.9,0.0,0.0,21690.0,6418.298102976,129321.49322581921,149444.1,0.8999999999999998,0.9,0.9,195.21,138816.0,31233.600000000002,122982.3,195.20999999999995,0.0,1756.89,87844.5,43123.49132879518
dallas_production_smr-high,654.4461777777778,0.9,589.00156,459258.5676653576,38453.915007531265,53010.140400000004,49137.11146294575,364899.5109945522,405822.07484,0.8999999999999998,0.9,0.9,530.101404,1126170.98272,90117.23868000001,0.0,530.1014039999999,0.0,4770.912636,238545.6318,320391.53889038693
fortWorth_production_smr-high,654.4461777777778,0.9,589.00156,459413.359275497,38466.875774818494,53010.140400000004,49137.11146294575,360822.71823122434,405822.07484,0.8999999999999998,0.9,0.9,530.101404,1126170.98272,90117.23868000001,0.0,530.1014039999999,0.0,4770.912636,238545.6318,316482.49850448547
freeport_production_smr-high,300.0,0.9,270.0,206349.00817305085,17277.6901311,24300.0,23868.87831864,171655.59886263,186030.0,0.8999999999999998,0.9,0.9,243.0,516240.0,41310.0,0.0,242.99999999999994,0.0,2187.0,109350.0,148071.17548542086
freeport_production_smr-noCCSExisting,482.0,0.9,433.8,0.0,0.0,43380.0,12836.596205952,259570.1918487456,298888.2,0.8999999999999998,0.9,0.9,390.42,277632.0,62467.200000000004,245964.6,390.4199999999999,0.0,3513.78,175689.0,87174.18805469753
houston_production_smr-high,421.11457777778116,0.9,379.00312000000304,289714.1481013866,24257.888718774568,34110.28080000027,33505.108717277726,240094.87092725924,261133.1496800021,0.8999999999999998,0.9,0.9,341.10280800000277,724653.9654400058,57987.47736000046,0.0,341.10280800000265,0.0,3069.9252720000245,153496.26360000123,207052.88398469507
killeen_production_smr-high,478.8992888888888,0.9,431.00935999999996,333167.81146696175,27896.282415641348,38790.842399999994,34331.794399524864,268649.46892528096,296965.44904,0.8999999999999998,0.9,0.9,387.90842399999997,824089.8963199999,65944.43208,0.0,387.90842399999985,0.0,3491.1758159999995,174558.7908,231311.9597674089
laPorte_production_smr-noCCSExisting,1264.0,0.9,1137.599999999999,0.0,0.0,113759.9999999999,33662.77511270397,678267.0848026362,783806.3999999993,0.8999999999999998,0.9,0.9,1023.8400000000003,728063.9999999993,163814.39999999985,645019.1999999995,1023.8399999999989,0.0,9214.559999999992,460727.9999999996,226174.6599153406
laredo_production_electrolyzer-RE,250.0,0.4,100.0,81825.00863394102,4567.49516,0.0,208301.27000000002,0.0,300000.0,0.0,0.0,1.0,100.0,5000000.0,0.0,0.0,0.0,0.0,0.0,0.0,-5306.226206058986
lubbock_production_electrolyzer-RE,280.01467500051837,0.4,112.00587000020735,94289.77420724086,5263.281905117015,0.0,218186.38750551944,0.0,336017.61000062205,0.0,0.0,1.0,112.00587000020735,5600293.5000103675,0.0,0.0,0.0,0.0,0.0,0.0,-18278.166382744734
montBelvieu_production_smr-noCCSExisting,241.0,0.9,216.9,0.0,0.0,21690.0,6418.298102976,129993.32596286881,149444.1,0.8999999999999998,0.9,0.9,195.21,138816.0,31233.600000000002,122982.3,195.20999999999995,0.0,1756.89,87844.5,43795.32406584479
pasadena_production_smr-noCCSExisting,482.0,0.9,433.8,0.0,0.0,43380.0,12836.596205952,258642.98645163843,298888.2,0.8999999999999998,0.9,0.9,390.42,277632.0,62467.200000000004,245964.6,390.4199999999999,0.0,3513.78,175689.0,86246.98265759036
portArthur_production_smr-noCCSExisting,1927.0,0.9,1614.0053999999905,0.0,0.0,161400.53999999905,47760.10971421373,973487.6006602492,1112049.7205999934,0.8999999999999998,0.9,0.9,1452.6048599999936,1032963.455999994,232416.77759999863,915141.0617999947,1452.604859999991,0.0,13073.443739999924,653672.1869999962,332067.4045744671
texasCity_production_smr-noCCSExisting,3252.0,0.9,2907.2267599996544,0.0,0.0,290722.67599996546,86027.88381109656,1734621.4013957118,2003079.237639762,0.8999999999999998,0.9,0.9,2616.504083999691,1860625.1263997788,418640.65343995026,1648397.5729198044,2616.504083999688,0.0,23548.536755997196,1177426.83779986,579263.4586869567
vanHorn_production_electrolyzer-RE,262.503375,0.4,105.00135,89846.51196349501,5015.25774805629,0.0,204541.6480373775,0.0,315004.05,0.0,0.0,1.0,105.00135,5250067.5,0.0,0.0,0.0,0.0,0.0,0.0,-15600.632251071162
