startHub,endHub,road_geometry
laPorte,leagueCity,"LINESTRING (-95.01933 29.665777, -95.02976400000001 29.665283999999996, -95.02987 29.63690399999999, -95.034418 29.623294000000005, -95.032 29.603328999999984, -95.02918 29.593144, -95.029312 29.584245999999993, -95.026146 29.563416000000014, -95.02209400000001 29.544913000000008, -95.018291 29.538070000000015, -95.027473 29.53146599999997, -95.043935 29.527067000000002, -95.07641 29.523007000000014, -95.094971 29.507552000000025)"
orange,beaumont,"LINESTRING (-93.903742 30.12259999999999, -93.904741 30.121212000000007, -93.90785 30.120614999999997, -93.907351 30.105180000000015, -93.903531 30.104622, -93.883278 30.113801000000013, -93.880549 30.11704099999999, -93.882794 30.130226999999977, -93.907284 30.130971000000006, -93.969028 30.129390000000015, -94.001166 30.135582999999972, -94.00702 30.135535, -94.018948 30.129874, -94.066295 30.098399000000004, -94.074782 30.095529000000003, -94.100431 30.094516000000013, -94.101721 30.092829999999992, -94.101849 30.08615000000001)"
pearland,sugarLand,"LINESTRING (-95.286387 29.563976000000014, -95.286325 29.600604000000008, -95.345516 29.600249, -95.358384 29.598247999999998, -95.454564 29.596696999999995, -95.46049 29.598284000000017, -95.509975 29.621280999999993, -95.517741 29.626768000000002, -95.549409 29.61541700000001, -95.557975 29.616349, -95.581167 29.626914999999993, -95.588265 29.628624000000013, -95.634985 29.619829000000006)"
abilene,dallas,"LINESTRING (-99.747886 32.446452, -99.2143 32.37015400000001, -98.834201 32.375488, -98.621867 32.47563300000001, -98.372783 32.513228999999995, -98.228545 32.56851700000001, -98.17028000000002 32.573183, -97.997589 32.687757000000026, -97.885123 32.726199000000015, -97.798233 32.727156999999984, -97.70003 32.75505299999999, -97.524273 32.720491999999986, -97.240176 32.760469, -96.796749 32.77594500000001)"
laPorte,deerPark,"LINESTRING (-95.01933 29.665777, -95.028802 29.665367999999987, -95.030024 29.686674, -95.031681 29.688169, -95.04058700000002 29.688584000000002, -95.114091 29.71115599999998, -95.124091 29.71171899999998, -95.123815 29.705227999999977)"
baytown,sanJacinto,"LINESTRING (-94.97759300000001 29.735551000000005, -95.021393 29.77838, -95.067294 29.795181000000014, -95.15414000000001 29.772528999999988, -95.165374 29.818584000000016, -95.202787 29.890327000000006, -95.201572 29.928146000000012, -95.293916 29.941831999999987, -95.225816 30.139103000000016, -95.111687 30.304165000000022, -95.089401 30.352276000000007, -95.116388 30.425356000000004, -95.151493 30.428628999999994, -95.185225 30.46437600000001, -95.19257100000002 30.509218000000004)"
chocolateBay,sanAntonio,"LINESTRING (-96.621653 28.584268999999978, -96.645065 28.610178000000012, -96.712583 28.616982000000014, -97.000441 28.799221, -97.013588 28.84608500000001, -97.137462 28.963467999999995, -97.177126 29.035352, -97.222477 29.068113000000004, -97.290037 29.093815000000014, -97.294993 29.084181000000008, -97.332668 29.090770000000006, -97.354805 29.083254000000007, -97.44555200000002 29.152215000000005, -97.465925 29.19423700000002, -97.509393 29.202649000000008, -97.568003 29.252517999999988, -97.722354 29.277005000000024, -97.960549 29.226678000000007, -98.029569 29.247535000000006, -98.074192 29.290868000000014, -98.112963 29.35421900000001, -98.20401299999999 29.35806400000001, -98.404169 29.398259000000003, -98.405545 29.424018999999998, -98.495383 29.42453)"
orange,montBelvieu,"LINESTRING (-93.903742 30.12259999999999, -93.90785 30.120614999999997, -93.907351 30.105180000000015, -93.880549 30.11704099999999, -93.882794 30.130226999999977, -93.969028 30.129390000000015, -94.00565500000002 30.13574099999998, -94.07162800000002 30.09639699999999, -94.134137 30.095271999999998, -94.137522 30.057464000000003, -94.24667 29.949709999999993, -94.39171 29.827999000000002, -94.440329 29.827144000000008, -94.680179 29.840749, -94.75642000000002 29.838749999999994, -94.803409 29.830433000000017, -94.820686 29.865682, -94.841961 29.868032999999976, -94.890783 29.847937999999996)"
baytown,texasCity,"LINESTRING (-94.97759300000001 29.735551000000005, -94.979524 29.720211000000003, -94.992116 29.723902999999996, -95.000666 29.714121, -95.013978 29.70607800000001, -95.030215 29.690736999999974, -95.02987 29.63690399999999, -95.034413 29.622824000000005, -95.024779 29.555054, -95.022032 29.54410000000001, -94.970438 29.455818999999995, -94.958775 29.41138200000001, -94.952321 29.40146600000001, -94.95159 29.39525900000001, -94.917387 29.39322700000001, -94.91739 29.390298999999985)"
collegeStation,austin,"LINESTRING (-96.30714 30.595494999999985, -96.344739 30.58684899999997, -96.36318 30.602675999999995, -96.387636 30.59314800000001, -96.468601 30.650114000000002, -96.540214 30.636089999999992, -96.552486 30.613914000000015, -96.65844 30.571231000000008, -96.722209 30.519657999999982, -96.795326 30.444098999999994, -96.826337 30.397040000000004, -96.947431 30.309159999999977, -96.963256 30.273726000000014, -96.99323 30.241843000000017, -97.014456 30.233918000000006, -97.066643 30.232672000000015, -97.146088 30.21432899999999, -97.221377 30.246649999999992, -97.257937 30.294050000000027, -97.286477 30.298329000000006, -97.390116 30.352121999999987, -97.559248 30.34876500000001, -97.62047 30.331314000000013, -97.705512 30.322556000000002, -97.734343 30.267744999999994, -97.743783 30.27090799999999)"
