convertor,conv_capacity,conv_cost_capital,conv_cost_fixed,conv_cost_variable,conv_e_price,conv_utilization,fuelStation_cost_capital_subsidy
abilene_converter_fuelDispenserLiquid,31.668616666666665,6346593.379606869,1399.9325715,0,21.817495280000003,0.6,20098783.287797436
amarillo_converter_fuelDispenserPipeline,51.669216666666664,3593196.142894072,1491.4981557,0,76.75083161,0.6,18565763.00330247
austin_converter_fuelDispenserPipeline,590.0026,3498375.598079648,1452.1391388,0,85.28213922,0.6,206405069.8643547
austin_converter_purification,372.63322105263154,47943.641408,0.0,0,77.9227668,0.95,n/a
brownsville_converter_fuelDispenserPipeline,46.669250000000005,3455076.820448396,1434.16626885,0,82.07070038,0.6,16124584.390271127
chocolateBay_converter_fuelDispenserPipeline,33.335800000000006,3464567.36215876,1438.1056935,0,82.07070038,0.6,11549412.467145197
chocolateBay_converter_purification,21.05418947368421,47480.314959999996,0.0,0,74.9884572,0.95,n/a
corpusChristi_converter_fuelDispenserLiquid,85.0019333329574,6212435.3336347705,1370.3399685,0,23.32974224,0.6,52806901.40649316
dallas_converter_fuelDispenserPipeline,981.6692666666668,3538871.8751151483,1468.94872005,0,85.95507349,0.6,347400175.8471579
dallas_converter_purification,620.0016421052632,48498.624408,0.0,0,78.5376306,0.95,n/a
elPaso_converter_fuelDispenserPipeline,175.00225,3685237.408608184,1529.7035229,0,108.35,0.6,64492483.82906015
fortWorth_converter_fuelDispenserPipeline,981.6692666666668,3540064.6403985717,1469.44382445,0,85.95507349,0.6,347517265.94926625
fortWorth_converter_purification,620.0016421052632,48514.970712,0.0,0,78.5376306,0.95,n/a
houston_converter_fuelDispenserPipeline,598.3359333333333,3469372.538401198,1440.100271925,0,91.08494167,0.6,207585025.58453164
houston_converter_liquefaction,18.9486105263126,1836318.031375207,0.0,0,332.8992792,0.95,n/a
houston_converter_purification,396.844989473681,47546.167708,0.0,0,83.2248198,0.95,n/a
houston_converter_terminalLiquid,21.17785882352585,75143.975014357,265.16131991000003,0,0.0,0.85,n/a
killeen_converter_fuelDispenserPipeline,38.33596666666667,3508329.309970628,1456.2708205499998,0,82.07070038,0.6,13449519.548272364
killeen_converter_liquefaction,58.94405263157894,1856937.616411202,0.0,0,299.9538288,0.95,n/a
killeen_converter_terminalLiquid,65.87864705882353,75987.749108102,268.13875426,0,0.0,0.85,n/a
laredo_converter_fuelDispenserPipeline,66.66925,3466146.014057584,1438.7609754,0,82.07070038,0.6,23108535.514770858
laredo_converter_liquefaction,10.521421052631572,1834610.251433656,0.0,0,299.9538288,0.95,n/a
laredo_converter_terminalLiquid,11.75923529411764,75074.090946856,264.91471928,0,0.0,0.85,n/a
lubbock_converter_fuelDispenserPipeline,66.66923333333334,3566026.826277344,1480.2204564,0,76.75083161,0.6,23774427.455401033
lubbock_converter_liquefaction,30.523084210526317,1887476.564992496,0.0,0,280.5106536,0.95,n/a
lubbock_converter_terminalLiquid,34.11403529411765,77237.433503696,272.54852848,0,0.0,0.85,n/a
mcallen_converter_fuelDispenserPipeline,36.669250000000005,3457499.1449435577,1435.171750425,0,82.07070038,0.6,12678390.052072154
midland_converter_fuelDispenserLiquid,36.66856666631197,6394070.950060129,1410.4051815,0,21.817495280000003,0.6,23446141.69014085
odessa_converter_fuelDispenserLiquid,31.668566666290744,6401744.589040444,1412.097834,0,21.817495280000003,0.6,20273407.52985933
pasadena_converter_fuelDispenserPipeline,40.00245,3469372.538401198,1440.100271925,0,91.08494167,0.6,13878340.149876699
pasadena_converter_purification,25.264705263161083,47546.167708,0.0,0,83.2248198,0.95,n/a
pearland_converter_compression,44.345294736790656,21590.713519382,0.0,0,39.30060935,0.95,n/a
pearland_converter_fuelDispenserPipeline,33.33593333333334,3468667.242392638,1439.807510925,0,91.08494167,0.6,11563125.994791815
pearland_converter_purification,65.39956842100118,47536.501948000005,0.0,0,83.2248198,0.95,n/a
pearland_converter_terminalGas,49.56238823523662,462949.76500008104,237.68250974,0,0.0,0.85,n/a
sanAntonio_converter_fuelDispenserPipeline,661.6692666666667,3487936.450691836,1447.80595785,0,86.40501361,0.6,230786035.35092026
sanAntonio_converter_liquefaction,16.858399999406437,1846143.798569374,0.0,0,315.7949736,0.95,n/a
sanAntonio_converter_purification,434.7547789467748,47800.577656,0.0,0,78.9487434,0.95,n/a
sanAntonio_converter_terminalLiquid,18.841741175807197,75546.055259674,266.58014462,0,0.0,0.85,n/a
sugarLand_converter_fuelDispenserLiquid,30.00196666666162,6219780.438985398,1371.960153,0,25.89216616,0.6,18660564.540439382
waco_converter_fuelDispenserPipeline,35.00261666666667,3515728.941940358,1459.342330425,0,85.95507349,0.6,12305971.245864393
