producer,prod_capacity,prod_utilization,prod_h,prod_cost_capital,prod_cost_fixed,prod_cost_variable,prod_e_price,prod_ng_price,h2_tax_credit,co2_emissions_rate,ccs_capture_rate,chec_per_ton,prod_checs,prod_e,prod_ng,prod_water,ccs_retrofit_variable_costs,co2_emitted,carbon_tax,co2_captured,carbon_capture_tax_credit,total_cost
austin_production_smr-high,393.33506666666665,0.9,354.00156,272864.8496323066,22847.089798766956,31860.1404,29301.167380467436,226534.43610357633,243907.07484,0.8999999999999998,0.9,0.9,318.601404,676850.98272,54162.238679999995,0.0,0.0,318.6014039999999,0.0,2867.4126359999996,143370.63179999997,196129.97667511727
baytown_production_smr-noCCSExisting,482.0,0.9,433.8,0.0,0.0,43380.0,12836.596205952,258642.98645163843,298888.2,0.8999999999999998,0.9,0.9,390.42,277632.0,62467.200000000004,0.0,245964.6,390.4199999999999,0.0,3513.78,175689.0,86246.98265759036
channelview_production_smr-noCCSExisting,241.0,0.9,216.9,0.0,0.0,21690.0,6418.298102976,129321.49322581921,149444.1,0.8999999999999998,0.9,0.9,195.21,138816.0,31233.600000000002,0.0,122982.3,195.20999999999995,0.0,1756.89,87844.5,43123.49132879518
dallas_production_smr-high,654.44617777778,0.9,589.001560000002,459258.56766535906,38453.91500753139,53010.14040000018,49137.11146294591,364899.51099455345,405822.07484000135,0.8999999999999998,0.9,0.9,530.1014040000018,1126170.9827200037,90117.2386800003,0.0,0.0,530.1014040000017,0.0,4770.912636000016,238545.63180000082,320391.53889038786
fortWorth_production_smr-high,654.4461777777757,0.9,589.0015599999981,459413.3592754955,38466.87577481837,53010.14039999983,49137.11146294559,360822.7182312231,405822.0748399987,0.8999999999999998,0.9,0.9,530.1014039999983,1126170.9827199965,90117.2386799997,0.0,0.0,530.1014039999982,0.0,4770.9126359999855,238545.63179999928,316482.49850448454
freeport_production_smr-noCCSExisting,482.0,0.9,433.8,0.0,0.0,43380.0,12836.596205952,259570.1918487456,298888.2,0.8999999999999998,0.9,0.9,390.42,277632.0,62467.200000000004,0.0,245964.6,390.4199999999999,0.0,3513.78,175689.0,87174.18805469753
houston_production_smr-high,487.9248111110534,0.9,439.13232999994807,335677.5767168115,28106.426126399292,39521.909699995325,38820.72648351713,278186.1534314633,302562.1753699642,0.8999999999999998,0.9,0.9,395.21909699995325,839621.0149599008,67187.24648999206,0.0,0.0,395.2190969999532,0.0,3556.9718729995793,177848.59364997895,239902.02343824343
killeen_production_electrolyzer-RE,250.0,0.4,100.0,82820.82604564098,4623.08197,0.0,208301.27000000002,0.0,300000.0,0.0,0.0,1.0,100.0,5000000.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-4254.821984359005
laPorte_production_smr-noCCSExisting,1264.0,0.9,1137.6000000000008,0.0,0.0,113760.00000000009,33662.775112704025,678267.0848026373,783806.4000000006,0.8999999999999998,0.9,0.9,1023.8400000000008,728064.0000000005,163814.4000000001,0.0,645019.2000000004,1023.8400000000005,0.0,9214.560000000007,460728.00000000035,226174.65991534106
laredo_production_electrolyzer-RE,250.0,0.4,100.0,81825.00863394102,4567.49516,0.0,208301.27000000002,0.0,300000.0,0.0,0.0,1.0,100.0,5000000.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-5306.226206058986
lubbock_production_electrolyzer-RE,250.0,0.4,100.0,84182.88631396397,4699.11256,0.0,194799.06500000003,0.0,300000.0,0.0,0.0,1.0,100.0,5000000.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-16318.936126035987
montBelvieu_production_smr-noCCSExisting,241.0,0.9,216.9,0.0,0.0,21690.0,6418.298102976,129993.32596286881,149444.1,0.8999999999999998,0.9,0.9,195.21,138816.0,31233.600000000002,0.0,122982.3,195.20999999999995,0.0,1756.89,87844.5,43795.32406584479
pasadena_production_smr-noCCSExisting,482.0,0.9,433.8,0.0,0.0,43380.0,12836.596205952,258642.98645163843,298888.2,0.8999999999999998,0.9,0.9,390.42,277632.0,62467.200000000004,0.0,245964.6,390.4199999999999,0.0,3513.78,175689.0,86246.98265759036
portArthur_production_smr-noCCSExisting,1927.0,0.9,1734.3000000000013,0.0,0.0,173430.00000000015,51319.752881472035,1046043.3068099286,1194932.700000001,0.8999999999999998,0.9,0.9,1560.870000000001,1109952.000000001,249739.2000000002,0.0,983348.1000000008,1560.8700000000008,0.0,14047.83000000001,702391.5000000006,356816.9596914002
sanAntonio_production_smr-high,458.90782222159567,0.9,413.0170399994361,317404.08815333416,26576.3791646558,37171.53359994925,34636.06728118925,269636.7099052579,284568.74055961147,0.8999999999999998,0.9,0.9,371.71533599949254,789688.5804789219,63191.60711991373,0.0,0.0,371.7153359994924,0.0,3345.438023995433,167271.90119977164,233584.13634500327
texasCity_production_smr-noCCSExisting,3252.0,0.9,2926.8000000000015,0.0,0.0,292680.0000000002,86607.07647667204,1746299.9403615752,2016565.2000000011,0.8999999999999998,0.9,0.9,2634.1200000000017,1873152.000000001,421459.20000000024,0.0,1659495.6000000008,2634.120000000001,0.0,23707.080000000016,1185354.000000001,583163.4168382464
vanHorn_production_electrolyzer-RE,262.5033750003138,0.4,105.00135000012551,89846.51196360242,5015.257748062286,0.0,204541.648037622,0.0,315004.05000037653,0.0,0.0,1.0,105.00135000012551,5250067.500006275,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-15600.632251089788
