startHub,endHub,kmLength_euclid,kmLength_road,exist_pipeline
channelview,pasadena,13.107574048473165,19.2923,1
seguinL,lulingL,43.97711977961512,46.2031,0
texarkana,dallas1L,264.59363453229383,294.2708,0
hutchinsL,dallas1L,6.733069448490749,8.6039,0
houston2L,houston,4.26479837485004,5.447,0
pearland,houston1L,26.01537770527971,28.2306,0
dallas1L,fortWorthL,53.07681024021618,62.9874,0
houston,sanAntonio,304.7100315921519,315.3023,1
italy L,fairfieldL,84.94362953469972,116.3488,0
hungerfordL,sugarLand,49.627912372035546,58.2921,0
buckeyeL,eloyL,110.13415624837229,138.5358,0
sanJacinto,clevelandL,19.467943146771155,23.6772,0
mcallen,corpusChristi,191.4105755381947,250.95489999999998,0
eloyL,coachellaL,430.52654497920526,479.2043,0
baytownL,montBelvieu,14.753258946585547,16.9531,0
texarkana,tyler,166.6560640098336,186.1535,0
willisL,centerville,101.75052966924454,111.3696,0
fortStocktonL,midland,142.52396483178228,188.4433,0
weimarL,hungerfordL,75.53000742840986,96.1538,0
corpusChristi,sanAntonio,212.61007047243288,233.68710000000002,0
midland,lubbock,174.37456585041966,190.50379999999998,0
sonora,sanAngelo,101.22993217522964,106.1404,0
willisL,collegeStation,79.43023728587124,98.75580000000001,0
collegeStation,wallerL,70.2669801576768,83.10310000000001,0
dallas1L,rockwallL,42.76130779898683,51.1772,0
orange,beaumont,19.4527546564934,30.3563,0
texasCity,pearland,40.56962293507155,46.6761,0
dentonL,fortWorth,58.23818637831933,61.732,0
fairfieldL,centerville,55.53002905117155,57.3883,0
fortStocktonL,odessa,114.96690397769736,155.6444,0
killeen,austin,93.61096108519504,108.2025,0
midlothianL,almaL,48.90703479047501,56.105,0
seguinL,austin,83.4419292199989,88.9117,0
baytownL,channelview,8.280018162431887,9.2843,0
amarillo,midland,356.3241015633479,384.5774,0
pasadena,pearland,15.922903807166872,21.189,0
annaL,dallas,66.02430291839087,69.6809,0
sanAntonio2L,lulingL,77.81613290380507,80.889,0
sanAntonio2L,sanAntonio1L,29.126630750519332,32.0601,0
midlothianL,fortWorthL,31.460735055283696,37.985099999999996,0
lulingL,corpusChristi,210.06934395878147,239.864,0
amarillo,odessa,375.66397151240767,416.8178,0
baytown,sanJacinto,87.92507556424604,122.318,1
elPasoL,elPaso,23.8404191871197,28.3006,0
tyler,dallas,147.88722906029383,157.436,0
weatherfordL,fortWorth,38.38052529373441,41.287099999999995,0
orange,portArthur,24.89861906852354,32.3897,1
quartzsiteL,coachellaL,178.85628093538213,184.6239,0
sanAntonio3L,corpusChristi,208.45954886260407,237.4398,0
sanAntonio3L,sanAntonio2L,29.126630750519332,32.1345,0
abilene,fortWorthL,228.49294243197176,251.35029999999998,0
lasCrucesL,anthonyL,43.94046206394457,52.564099999999996,0
rhomeL,dentonL,36.40643089319779,50.5253,0
weimarL,wallerL,93.66921094499416,119.1704,0
tollesonL,chandlerL,32.41406099274633,45.292199999999994,0
houston,houston1L,10.48665261320718,12.283100000000001,0
rhomeL,bridgeportL,29.82568826793843,38.443599999999996,0
theWoodlands,sanJacinto,47.7884327106235,79.3367,0
