startHub,endHub,road_geometry
theWoodlands,houston2L,"LINESTRING (-95.504517 30.173647000000013, -95.502632 30.172808000000003, -95.50692900000001 30.168465999999995, -95.503566 30.164579000000003, -95.486886 30.155214000000008, -95.453722 30.156424, -95.44926 30.15436700000001, -95.441999 30.120239000000026, -95.43589 30.10808600000001, -95.437229 30.08113300000001, -95.42955100000002 30.03871399999999, -95.427856 30.009828000000002, -95.418143 29.952387999999992, -95.412187 29.934309999999982, -95.411901 29.876857, -95.381646 29.829531000000017, -95.372145 29.79812100000001, -95.369721 29.79725300000002)"
weatherfordL,fortWorth,"LINESTRING (-97.743123 32.74296800000001, -97.697793 32.75492899999999, -97.622133 32.731469, -97.589648 32.72749199999999, -97.56875 32.720981, -97.524912 32.72047400000002, -97.480344 32.73815800000001, -97.448719 32.73803599999999, -97.396728 32.732782000000014, -97.364609 32.732769999999995, -97.336807 32.744325, -97.332623 32.752995999999996)"
baytownL,baytown,"LINESTRING (-95.032577 29.797868999999995, -95.032001 29.798290000000005, -95.03213800000002 29.78267400000001, -95.021703 29.778091, -95.002819 29.759907000000002, -94.991646 29.753684, -94.98479 29.744240999999985, -94.977936 29.736755999999993, -94.97759300000001 29.735551000000005)"
orange,beaumont,"LINESTRING (-93.903742 30.12259999999999, -93.904741 30.121212000000007, -93.90785 30.120614999999997, -93.907351 30.105180000000015, -93.903531 30.104622, -93.883278 30.113801000000013, -93.880549 30.11704099999999, -93.882794 30.130226999999977, -93.907284 30.130971000000006, -93.969028 30.129390000000015, -94.001166 30.135582999999972, -94.00702 30.135535, -94.018948 30.129874, -94.066295 30.098399000000004, -94.074782 30.095529000000003, -94.100431 30.094516000000013, -94.101721 30.092829999999992, -94.101849 30.08615000000001)"
vanHornL,vanHorn,"LINESTRING (-104.819036 31.039672999999983, -104.821614 31.038435000000003, -104.823127 31.037910999999994, -104.824101 31.037675999999994, -104.825136 31.037491999999997, -104.828537 31.037460000000003, -104.83093 31.03725399999999, -104.831223 31.039821999999987, -104.83060100000002 31.039872, -104.830972 31.043075000000012, -104.831592 31.043023000000005, -104.83158700000001 31.042975000000006)"
pasadena,houston1L,"LINESTRING (-95.209285 29.691066999999993, -95.20955500000001 29.711506999999994, -95.217043 29.711093000000012, -95.228816 29.707505000000022, -95.244866 29.706032, -95.260838 29.70849400000001, -95.265623 29.710506999999993, -95.266661 29.727603000000002, -95.264692 29.741653000000024, -95.265332 29.767941000000018, -95.263298 29.77993600000003, -95.268848 29.794791000000004, -95.271234 29.797229000000012, -95.269763 29.799044999999982, -95.268884 29.798494)"
seguinL,corpusChristi,"LINESTRING (-98.033833 29.56044200000001, -98.391795 29.436605000000018, -98.415904 29.32874100000001, -98.395053 29.25278100000001, -98.428266 29.16965, -98.434549 28.91131800000004, -98.300396 28.76372399999998, -98.185512 28.524494000000004, -98.119151 28.470275, -98.026596 28.337262000000003, -97.922358 28.255798999999975, -97.808007 28.087923000000007, -97.674725 27.977832000000003, -97.621939 27.86373899999998, -97.453316 27.803434999999986, -97.403232 27.7634)"
sanAntonio2L,seguinL,"LINESTRING (-98.361497 29.448124, -98.360737 29.44452300000003, -98.319479 29.458026999999984, -98.287108 29.466713000000006, -98.197992 29.496547999999997, -98.112677 29.528799, -98.08623600000001 29.53584899999999, -98.04545 29.549166000000003, -98.040607 29.552019000000005, -98.032015 29.560308000000028, -98.032742 29.561632000000003, -98.033833 29.56044200000001)"
abilene,sanAngelo,"LINESTRING (-99.747886 32.446452, -99.748103 32.43216299999999, -99.78203000000002 32.430775, -99.89039100000001 32.338912999999984, -99.922729 32.28573600000002, -100.04805 32.22053499999999, -100.086708 32.18166000000002, -100.126983 32.097184, -100.20827 32.07057199999999, -100.278543 32.013168, -100.277107 31.938759000000022, -100.292538 31.881456999999987, -100.285593 31.738744999999984, -100.368484 31.575791000000013, -100.371561 31.500656, -100.38844100000001 31.479564, -100.42981 31.475402999999993, -100.440481 31.46492500000002)"
dentonL,annaL,"LINESTRING (-97.179431 33.26287800000002, -97.177428 33.263678000000006, -97.164323 33.25687699999999, -97.133948 33.26030200000001, -97.112293 33.258943, -97.092029 33.24561, -97.09039000000001 33.23301899999999, -97.04915 33.238195000000026, -97.025812 33.23765999999997, -96.989241 33.22600600000001, -96.964706 33.221926999999994, -96.881443 33.21873200000002, -96.710591 33.21901500000001, -96.63579100000001 33.21666100000003, -96.628381 33.241730999999994, -96.597902 33.26598299999999, -96.593476 33.272325, -96.589902 33.326177, -96.58419 33.345227999999985)"
amarillo,odessa,"LINESTRING (-101.833821 35.20723400000001, -101.909065 35.118060000000014, -101.918975 35.024045000000015, -101.849058 34.94286700000001, -101.84751 34.721274999999984, -101.708676 34.23960700000002, -101.750388 34.129303, -101.853809 34.045395, -101.806987 33.00652400000001, -101.95123100000002 32.750226, -101.926992 32.70726400000002, -102.172415 32.32927199999999, -102.09703 32.096581000000015, -102.25021600000001 32.022587000000016, -102.311187 31.873703999999993, -102.367677 31.845700000000004)"
baytown,laPorte,"LINESTRING (-94.97759300000001 29.735551000000005, -94.978437 29.73491499999999, -94.978189 29.733648, -94.979079 29.732608999999993, -94.978397 29.726574, -94.979524 29.720211000000003, -94.985916 29.72159699999998, -94.992116 29.723902999999996, -94.994328 29.720580999999985, -95.000666 29.714121, -95.012107 29.70752400000001, -95.026718 29.695765999999992, -95.02954000000001 29.692493000000002, -95.030567 29.688834999999983, -95.029528 29.671637000000008, -95.02976400000001 29.665283999999996, -95.01933 29.665777)"
texarkana,tyler,"LINESTRING (-94.077288 33.446834999999986, -94.08034 33.436179000000024, -94.097287 33.431599, -94.098741 33.394523, -94.150725 33.335279000000014, -94.151162 33.15614000000001, -94.184077 33.11123000000001, -94.22492400000002 33.097290999999984, -94.362897 33.001351, -94.435099 32.97609499999997, -94.55405500000002 32.89376000000001, -94.642242 32.87343500000001, -94.708957 32.847066000000005, -94.870788 32.81148699999998, -94.88588000000001 32.78702199999998, -94.928015 32.75590699999998, -94.94548699999999 32.712101000000004, -95.150663 32.557467999999986, -95.187046 32.451291999999995, -95.207264 32.424458000000016, -95.27111200000002 32.39472700000001, -95.300641 32.35126300000002)"
houston,houston1L,"LINESTRING (-95.36786300000001 29.758731, -95.36319 29.755911, -95.357602 29.76301300000002, -95.356125 29.767530000000015, -95.35196 29.769819000000002, -95.347413 29.769957999999992, -95.34108100000002 29.768417000000014, -95.335622 29.76917700000001, -95.322276 29.77406800000001, -95.301957 29.774188000000002, -95.291498 29.777667000000015, -95.284022 29.777611000000025, -95.284106 29.781496000000004, -95.283397 29.783445, -95.269763 29.799044999999982, -95.268884 29.798494)"
weimarL,hungerfordL,"LINESTRING (-96.777269 29.690502000000006, -96.539489 29.692187000000008, -96.530639 29.659721000000008, -96.519118 29.65106299999998, -96.466195 29.56871399999999, -96.426455 29.574513999999997, -96.408497 29.586516000000024, -96.391489 29.58982599999999, -96.342623 29.58374500000003, -96.335343 29.587064000000012, -96.324342 29.579727000000013, -96.105236 29.528373, -96.071435 29.531085000000004, -96.068786 29.520673000000006, -96.07756 29.493588999999997, -96.071638 29.432827999999994, -96.082208 29.403252, -96.075362 29.39054000000001)"
midlothianL,fortWorth,"LINESTRING (-97.010923 32.48294999999999, -97.01683 32.48214500000001, -97.039881 32.49326500000001, -97.079138 32.52122700000003, -97.099495 32.532593, -97.118618 32.57038200000001, -97.138891 32.58744599999999, -97.202009 32.66635000000002, -97.209888 32.67143199999999, -97.223051 32.66829, -97.238111 32.67046200000001, -97.241725 32.692566000000014, -97.258631 32.696696999999986, -97.276676 32.711943999999995, -97.296311 32.72425499999998, -97.299805 32.738742999999985, -97.307594 32.748374999999996, -97.317613 32.75526899999999, -97.323399 32.756865, -97.332623 32.752995999999996)"
lulingL,sanAntonio,"LINESTRING (-97.592062 29.653769999999998, -97.618848 29.648488, -97.672372 29.651777999999997, -97.803773 29.615535000000005, -97.850039 29.61470700000001, -97.916938 29.59961600000003, -97.970348 29.598997, -98.044891 29.549649000000013, -98.25680500000001 29.476763999999996, -98.436908 29.420139000000006, -98.468241 29.419413000000002, -98.495383 29.42453)"
pasadena,houston,"LINESTRING (-95.209285 29.691066999999993, -95.20955500000001 29.711506999999994, -95.217043 29.711093000000012, -95.22419100000002 29.709518, -95.228816 29.707505000000022, -95.244866 29.706032, -95.267123 29.70938100000001, -95.27083 29.707731000000027, -95.28359800000001 29.699043999999983, -95.287463 29.698090999999994, -95.28937 29.698339999999998, -95.315831 29.71558599999998, -95.326581 29.721607999999986, -95.340171 29.730296000000003, -95.345823 29.734689, -95.358333 29.742687000000004, -95.365274 29.74592900000001, -95.37300799999998 29.750573000000013, -95.374511 29.75288, -95.374602 29.757612000000005, -95.372097 29.763598, -95.37062 29.76345699999998, -95.367184 29.760537999999997, -95.36838300000001 29.759043999999985, -95.36786300000001 29.758731)"
montBelvieu,deerParkL,"LINESTRING (-94.890783 29.847937999999996, -94.895436 29.847546999999995, -94.89492 29.836193999999995, -94.904625 29.800626999999995, -94.91052700000002 29.790272000000012, -94.913999 29.773832000000017, -94.92623 29.75988499999999, -94.930833 29.757458999999983, -94.956402 29.751614999999987, -94.97988800000002 29.750009999999996, -94.985 29.748065999999994, -94.994482 29.735076999999993, -94.99146 29.725550000000002, -94.99337100000001 29.721161999999985, -94.998983 29.715307000000006, -95.012107 29.70752400000001, -95.026718 29.695765999999992, -95.032601 29.688522000000006, -95.04058700000002 29.688584000000002, -95.084635 29.702027000000008, -95.090918 29.704289000000003, -95.091827 29.707583000000007, -95.092683 29.706924999999995)"
dallas2L,dallas1L,"LINESTRING (-96.83928000000002 32.64101600000001, -96.84001100000002 32.641124000000005, -96.839986 32.64207500000002, -96.79909 32.64236200000001, -96.758207 32.653504, -96.750804 32.65472800000001, -96.751214 32.65557299999999, -96.754425 32.655005, -96.754734 32.655924999999996)"
