consumer,cons_carbonSensitive,cons_h,cons_checs,cons_price,cons_size
abilene_demandSector_transportationFuel_carbonSensitive,1,105.0,105.0,5000.0,105.0
amarillo_demandSector_transportationFuel_carbonSensitive,1,397.0,397.0,5000.0,397.0
austin_demandSector_transportationFuel_carbonSensitive,1,22.0,22.0,5000.0,22.0
baytown_demandSector_existing,0,538.0,0.0,5000.0,538.0
beaumont_demandSector_existing,0,538.0,0.0,5000.0,538.0
brazoria_demandSector_existing,0,538.0,0.0,5000.0,538.0
brownsville_demandSector_transportationFuel_carbonSensitive,1,354.0,354.0,5000.0,354.0
buckeyeL_demandSector_transportationFuel_carbonSensitive,1,40.0,40.0,5000.0,40.0
centerville_demandSector_transportationFuel_carbonSensitive,1,22.0,22.0,5000.0,22.0
channelview_demandSector_existing,0,538.0,0.0,5000.0,538.0
channelview_demandSector_transportationFuel_carbonSensitive,1,24.0,24.0,5000.0,24.0
chocolateBay_demandSector_transportationFuel_carbonSensitive,1,20.0,20.0,5000.0,20.0
coachellaL_demandSector_transportationFuel_carbonSensitive,1,40.0,40.0,5000.0,40.0
collegeStation_demandSector_transportationFuel_carbonSensitive,1,589.0,589.0,5000.0,589.0
corpusChristi_demandSector_transportationFuel_carbonSensitive,1,19.0,19.0,5000.0,19.0
dallas_demandSector_transportationFuel_carbonSensitive,1,40.0,40.0,5000.0,40.0
deerPark_demandSector_existing,0,538.0,0.0,5000.0,538.0
elPaso_demandSector_existing,0,538.0,0.0,5000.0,538.0
eloyL_demandSector_transportationFuel_carbonSensitive,1,40.0,40.0,5000.0,40.0
fortWorth_demandSector_transportationFuel_carbonSensitive,1,31.0,31.0,5000.0,31.0
freeport_demandSector_existing,0,538.0,0.0,5000.0,538.0
killeen_demandSector_transportationFuel_carbonSensitive,1,28.0,28.0,5000.0,28.0
laPorte_demandSector_existing,0,538.0,0.0,5000.0,538.0
laredo_demandSector_transportationFuel_carbonSensitive,1,21.0,21.0,5000.0,21.0
lordsburgL_demandSector_transportationFuel_carbonSensitive,1,40.0,40.0,5000.0,40.0
lubbock_demandSector_transportationFuel_carbonSensitive,1,589.0,589.0,5000.0,589.0
midland_demandSector_existing,0,538.0,0.0,5000.0,538.0
montBelvieu_demandSector_existing,0,538.0,0.0,5000.0,538.0
odessa_demandSector_transportationFuel_carbonSensitive,1,23.0,23.0,5000.0,23.0
orange_demandSector_existing,0,538.0,0.0,5000.0,538.0
pasadena_demandSector_existing,0,538.0,0.0,5000.0,538.0
pearland_demandSector_transportationFuel_carbonSensitive,1,40.0,40.0,5000.0,40.0
portArthur_demandSector_transportationFuel_carbonSensitive,1,359.0,359.0,5000.0,359.0
quartzsiteL_demandSector_transportationFuel_carbonSensitive,1,40.0,40.0,5000.0,40.0
sanAngelo_demandSector_transportationFuel_carbonSensitive,1,19.0,19.0,5000.0,19.0
sanAntonio_demandSector_transportationFuel_carbonSensitive,1,51.0,51.0,5000.0,51.0
texasCity_demandSector_existing,0,538.0,0.0,5000.0,538.0
texasCity_demandSector_transportationFuel_carbonSensitive,1,20.0,20.0,5000.0,20.0
