convertor,conv_capacity,conv_cost_capital,conv_cost_fixed,conv_cost_variable,conv_e_price,conv_utilization,fuelStation_cost_capital_subsidy
abilene_converter_fuelDispenserPipeline,175.00268333333244,3471337.6574528078,1440.9159723,0,91.08494167,0.6,60749340.481028564
amarillo_converter_fuelDispenserPipeline,661.6693333333334,3527567.328614186,1464.256320975,0,81.63598245,0.6,233408312.26125956
austin_converter_fuelDispenserLiquid,36.66871666666667,6217803.450195371,1371.5240685,0,25.89216616,0.6,22799887.30042365
brownsville_converter_fuelDispenserPipeline,590.0026666666666,3685237.408608184,1529.7035229,0,76.75083161,0.6,217429989.83785844
brownsville_converter_purification,372.6332631578947,50504.497264000005,0.0,0,70.1276634,0.95,n/a
buckeyeL_converter_fuelDispenserPipeline,66.66940000000001,3562437.158724158,1478.730422925,0,76.75083161,0.6,23750554.790984437
buckeyeL_converter_purification,42.10699069907733,48821.575868,0.0,0,70.1276634,0.95,n/a
centerville_converter_fuelDispenserPipeline,36.669366666574646,3497274.470432886,1451.682072225,0,82.07070038,0.6,12824283.988995412
centerville_converter_liquefaction,29.47496842105263,1851086.356290699,0.0,0,299.9538288,0.95,n/a
centerville_converter_terminalLiquid,32.94261176470588,75748.309677249,267.29384187,0,0.0,0.85,n/a
channelview_converter_fuelDispenserPipeline,40.0027,3469486.14539384,1440.147429,0,91.08494167,0.6,13878881.342834612
channelview_converter_purification,25.264863157861168,47547.72464,0.0,0,83.2248198,0.95,n/a
chocolateBay_converter_fuelDispenserPipeline,33.336016666666666,3593196.142894072,1491.4981557,0,76.75083161,0.6,11978284.650611913
chocolateBay_converter_purification,21.05432631578947,49243.113712000006,0.0,0,70.1276634,0.95,n/a
coachellaL_converter_fuelDispenserPipeline,66.66940000000001,3477007.1931532077,1443.2693373,0,91.08494167,0.6,23180998.336320844
coachellaL_converter_purification,42.10698947368421,47650.797168,0.0,0,83.2248198,0.95,n/a
collegeStation_converter_fuelDispenserPipeline,981.6693500000001,3685237.408608184,1529.7035229,0,76.75083161,0.6,361768461.150408
collegeStation_converter_purification,672.6362631578365,50504.497264000005,0.0,0,70.1276634,0.95,n/a
corpusChristi_converter_fuelDispenserPipeline,31.669366666666665,3466377.269038398,1438.856966925,0,82.07070038,0.6,10977797.273817563
corpusChristi_converter_liquefaction,22.106547368433546,1834732.653305007,0.0,0,299.9538288,0.95,n/a
corpusChristi_converter_purification,42.10825263159144,47505.118908,0.0,0,74.9884572,0.95,n/a
corpusChristi_converter_terminalLiquid,24.707317647072788,75079.099754157,264.93239391,0,0.0,0.85,n/a
