arc_start,arc_end,dist_capacity,dist_cost_capital,dist_cost_fixed,dist_cost_variable,dist_flowLimit,dist_h
abilene_converter_fuelDispenserPipeline,abilene_demand_fuelStation,1.0,0.0,0.0,0.0,99999999.9,105.00160999999946
abilene_demand_fuelStation,abilene_demandSector_transportationFuel_carbonSensitive,1.0,0.0,0.0,0.0,99999999.9,105.0
abilene_dist_pipelineHighPurity,abilene_converter_fuelDispenserPipeline,1.0,0.0,0.0,0.0,999999.0,105.00160999999946
amarillo_converter_fuelDispenserPipeline,amarillo_demand_fuelStation,1.0,0.0,0.0,0.0,99999999.9,397.0016
amarillo_demand_fuelStation,amarillo_demandSector_transportationFuel_carbonSensitive,1.0,0.0,0.0,0.0,99999999.9,397.0
amarillo_dist_pipelineHighPurity,amarillo_converter_fuelDispenserPipeline,1.0,0.0,0.0,0.0,999999.0,397.0016
austin_converter_fuelDispenserLiquid,austin_demand_fuelStation,1.0,0.0,0.0,0.0,99999999.9,22.00123
austin_demand_fuelStation,austin_demandSector_transportationFuel_carbonSensitive,1.0,0.0,0.0,0.0,99999999.9,22.0
austin_dist_truckLiquefied,austin_converter_fuelDispenserLiquid,3.0,0.0,0.0,0.0,8.0,22.00123
baytown_center_lowPurity,baytown_dist_pipelineLowPurity,1.0,0.0,0.0,0.0,99999999.9,433.8
baytown_demand_lowPurity,baytown_demandSector_existing,1.0,0.0,0.0,0.0,99999999.9,538.0
baytown_dist_pipelineLowPurity,baytown_demand_lowPurity,1.0,0.0,0.0,0.0,999999.0,538.0017999999975
baytown_production_smr-noCCSExisting,baytown_center_lowPurity,1.0,0.0,0.0,0.0,99999999.9,433.8
beaumont_demand_lowPurity,beaumont_demandSector_existing,1.0,0.0,0.0,0.0,99999999.9,538.0
beaumont_dist_pipelineLowPurity,beaumont_demand_lowPurity,1.0,0.0,0.0,0.0,999999.0,538.0018000000159
bensonL_center_lowPurity,bensonL_dist_pipelineLowPurity,1.0,0.0,0.0,0.0,99999999.9,1187.517260699999
bensonL_dist_pipelineLowPurity,willcoxL_dist_pipelineLowPurity,1.0,66159617.9577944,9737.22954036594,6.29478,999999.0,1187.517260699999
