producer,prod_capacity,prod_utilization,prod_h,prod_cost_capital,prod_cost_fixed,prod_cost_variable,prod_e_price,prod_ng_price,h2_tax_credit,co2_emissions_rate,ccs_capture_rate,chec_per_ton,prod_checs,prod_e,prod_ng,ccs_retrofit_variable_costs,co2_emitted,carbon_tax,co2_captured,carbon_capture_tax_credit,total_cost
baytown_production_smr-noCCSExisting,482.0,0.9,433.8,0.0,0.0,43380.0,12836.596205952,259570.1918487456,298888.2,0.8999999999999998,0.9,0.9,390.42,277632.0,62467.200000000004,245964.6,390.4199999999999,0.0,3513.78,175689.0,87174.18805469753
bensonL_production_smr-noCCSExisting,1319.463623,0.9,1187.5172607000002,0.0,0.0,118751.72607000002,33160.81491625974,687608.1509845792,818199.3926223001,0.8999999999999998,0.9,0.9,1068.76553463,760011.0468480001,171002.48554080003,673322.2868169001,1068.7655346299998,0.0,9618.88981167,480944.4905835,213699.09558193898
buckeyeL_production_smr-noCCSExisting,1541.777547,0.9,40.00164000000052,0.0,0.0,4000.164000000052,997.4121050197379,23724.93953384121,27561.12996000036,0.8999999999999998,0.9,0.9,36.001476000001496,25601.049600000333,5760.236160000075,22680.929880000294,36.00147600000046,0.0,324.01328400000426,16200.664200000214,7641.6513588607195
chandlerL_production_smr-noCCSExisting,1462.071148,0.9,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.8999999999999998,0.9,0.9,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
channelview_production_smr-noCCSExisting,241.0,0.9,216.9,0.0,0.0,21690.0,6418.298102976,130823.26774322399,149444.1,0.8999999999999998,0.9,0.9,195.21,138816.0,31233.600000000002,122982.3,195.20999999999995,0.0,1756.89,87844.5,44625.26584619997
coachellaL_production_smr-noCCSExisting,1363.202832,0.9,111.0047999997682,0.0,0.0,11100.47999997682,3284.7482584589325,66238.0298121825,76482.30719984029,0.8999999999999998,0.9,0.9,99.90431999979239,71043.07199985164,15984.69119996662,62939.72159986857,99.90431999979135,0.0,899.1388799981224,44956.94399990612,22123.728470740403
eloyL_production_smr-noCCSExisting,1326.396576,0.9,40.00164000000052,0.0,0.0,4000.164000000052,1183.690410917161,23850.031425918514,27561.12996000036,0.8999999999999998,0.9,0.9,36.001476000001496,25601.049600000333,5760.236160000075,22680.929880000294,36.00147600000046,0.0,324.01328400000426,16200.664200000214,7953.021556835447
freeport_production_smr-noCCSExisting,482.0,0.9,433.8,0.0,0.0,43380.0,12113.644143744,252064.18581906243,298888.2,0.8999999999999998,0.9,0.9,390.42,277632.0,62467.200000000004,245964.6,390.4199999999999,0.0,3513.78,175689.0,78945.22996280639
laPorte_production_smr-noCCSExisting,1264.0,0.9,1108.7418370059968,0.0,0.0,110874.18370059968,27645.679766419278,743496.3866678881,763923.1256971317,0.8999999999999998,0.9,0.9,997.8676533053982,709594.775683838,159658.82452886354,628656.6215824002,997.8676533053969,0.0,8980.808879748574,449040.44398742873,297709.30203274684
lasCrucesL_production_smr-noCCSExisting,1046.375,0.9,941.7375000000001,0.0,0.0,94173.75,26297.540230104,562831.8734236375,648857.1375000001,0.8999999999999998,0.9,0.9,847.5637500000001,602712.0,135610.2,533965.1625,847.5637499999999,0.0,7628.073750000001,381403.68750000006,187007.50115374126
lordsburgL_production_smr-noCCSExisting,1116.921875,0.9,657.7602574903112,0.0,0.0,65776.02574903112,16400.778643618803,420128.4238152206,453196.8174108244,0.8999999999999998,0.9,0.9,591.9842317412812,420966.5647937992,94717.47707860482,372950.06599700643,591.9842317412799,0.0,5327.858085671522,266392.90428357606,155665.57251047646
montBelvieu_production_smr-noCCSExisting,241.0,0.9,216.9,0.0,0.0,21690.0,5752.47743136,130497.55976452318,149444.1,0.8999999999999998,0.9,0.9,195.21,138816.0,31233.600000000002,122982.3,195.20999999999995,0.0,1756.89,87844.5,43633.73719588315
pasadena_production_smr-noCCSExisting,482.0,0.9,433.8,0.0,0.0,43380.0,12836.596205952,258642.98645163843,298888.2,0.8999999999999998,0.9,0.9,390.42,277632.0,62467.200000000004,245964.6,390.4199999999999,0.0,3513.78,175689.0,86246.98265759036
portArthur_production_smr-noCCSExisting,1927.0,0.9,1734.3,0.0,0.0,173430.0,48429.444533183996,1007751.7188094895,1194932.7,0.8999999999999998,0.9,0.9,1560.87,1109952.0,249739.19999999998,983348.1,1560.8699999999997,0.0,14047.83,702391.5,315635.0633426735
quartzsiteL_production_smr-noCCSExisting,1327.99974,0.9,40.00162999998398,0.0,0.0,4000.1629999983984,1060.8966057746472,24066.92070816622,27561.123069988964,0.8999999999999998,0.9,0.9,36.00146699998661,25601.04319998975,5760.234719997694,22680.92420999092,36.001466999985574,0.0,324.01320299987026,16200.660149993513,8047.121303947715
texasCity_production_smr-noCCSExisting,3252.0,0.9,2926.8,0.0,0.0,292680.0,81729.39990758401,1713058.8480421633,2016565.2000000002,0.8999999999999998,0.9,0.9,2634.1200000000003,1873152.0,421459.2,1659495.6,2634.1199999999994,0.0,23707.08,1185354.0,545044.6479497473
tollesonL_production_smr-noCCSExisting,1584.580041,0.9,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.8999999999999998,0.9,0.9,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
willcoxL_production_coachellaLExisting,1226.412109,0.9,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.8999999999999998,0.9,0.9,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
