startHub,endHub,kmLength_euclid,kmLength_road,exist_pipeline
5956,5954,54.92993289168911,112.0681,0
104199,105567,91.3703491535586,107.3878,0
4705,4704,21.65448329344056,29.4742,0
15,12053,24.031733634847733,40.1349,0
97797,12,62.10256929113576,67.4172,0
97978,103515,83.41617879919977,105.08539999999999,0
3905,4089,100.45439782470015,120.15010000000001,0
4306,15535,153.9946154873946,177.963,0
72146,7,62.11967389659172,162.61270000000002,0
108127,19,103.99421768703681,114.6828,0
4283,4287,36.88555073386254,39.058699999999995,0
100372,107575,88.26922325681237,119.0352,0
71843,72064,78.89530896774718,105.26089999999999,0
29,102826,52.712573097112674,58.8108,0
97978,95899,130.81762058328772,137.1899,1
71837,11,143.50434565589228,177.9874,0
19,99923,47.68592331208021,54.262800000000006,0
4122,16,29.856281341076627,80.6541,0
4256,4306,142.92870074697822,215.661,0
108127,102692,83.38081808195692,99.6257,0
4205,71843,220.09888599940194,246.36679999999998,1
4205,71852,157.54120910614864,191.96720000000002,0
102692,102507,35.68231949681623,38.8904,0
4039,5094,130.1053618787817,208.0402,0
107644,107010,199.17408470794467,224.5759,1
98776,17,24.53300300723777,28.8227,0
104199,99923,94.91384633118932,109.777,1
96087,97689,135.23973347266613,173.22729999999999,1
4740,4131,60.22419188152443,83.3147,0
96359,98776,94.05723035867858,108.3368,0
4248,4306,128.08675612225537,179.3611,0
13756,5954,130.11680524448693,198.3525,0
72146,11,175.83068328439396,211.9153,0
72049,72146,94.4080395051063,96.2367,0
9,107700,191.86342010675642,222.23489999999998,0
4256,4283,140.61527770628618,217.3335,0
107700,107706,22.331927706141744,22.8017,0
4205,4219,136.9061040178555,164.60979999999998,0
6784,6590,71.81918616800553,84.8058,0
4713,4131,53.12599028718563,90.0838,0
3905,4452,87.3175522658706,104.3298,0
71837,72064,67.00184057394372,81.2434,0
9389,9782,118.52993645289648,137.0384,0
103399,107706,196.94722289910143,252.4265,1
4219,4400,103.14286926786922,106.6885,0
11873,8749,77.8541461292335,87.2141,0
11873,9661,47.81602726688566,72.5596,0
4248,4283,140.08318337350948,196.09560000000002,0
71763,71769,50.79422031302019,58.2014,0
23,109323,38.58945359409395,49.9216,0
22,97987,3.99230772440042,4.5963,0
5944,5947,43.97490924960055,53.262800000000006,0
5966,5944,20.835808606634167,25.7912,0
98776,108027,110.77309956947518,127.4338,0
