startHub,endHub,road_geometry
5956,5954,"LINESTRING (-118.88420300000001 34.818754000000006, -118.862894 34.839120999999984, -118.901561 34.885038, -118.92222200000002 34.899198999999996, -118.92244500000001 34.928014000000005, -118.931367 34.94264900000001, -119.00251199999998 35.167582, -119.003095 35.20859799999999, -118.74397600000002 35.209468999999984, -118.711438 35.22113099999999, -118.70108000000002 35.23364000000002, -118.673128 35.24829299999999, -118.658339 35.26416200000001, -118.627843 35.263702999999985, -118.57861300000002 35.23901699999999, -118.567122 35.22368999999998, -118.48208799999999 35.177389999999995, -118.473926 35.168176999999986, -118.46753599999998 35.14136100000002, -118.43424100000001 35.139340000000004, -118.412601 35.127044)"
104199,105567,"LINESTRING (-102.817214 33.183707000000005, -102.275032 33.179238999999995, -102.273212 33.200559, -102.177574 33.388873000000025, -102.146521 33.426396999999994, -102.030451 33.49761100000001, -102.00565100000001 33.50366599999999, -101.995653 33.51817800000001, -101.957077 33.542220000000015, -101.957215 33.577816999999996, -101.953 33.57811800000001)"
4705,4704,"LINESTRING (-112.137 33.436999999999976, -112.108652 33.436725999999986, -112.10857 33.42946300000001, -112.103079 33.42832400000001, -112.087982 33.42964799999999, -112.070851 33.428184, -112.062489 33.42897, -112.030015 33.42645199999999, -112.022865 33.423402, -112.01415300000001 33.41410800000001, -112.00916200000002 33.411332000000016, -111.979716 33.410756000000006, -111.97125500000001 33.407827000000005, -111.968519 33.404376000000006, -111.967606 33.400308, -111.968201 33.370264999999996, -111.972329 33.34570300000001, -111.973042 33.30523500000002, -111.964185 33.306064)"
15,12053,"LINESTRING (-118.23886500000002 34.296042000000014, -118.246867 34.297726000000004, -118.25255300000002 34.301618, -118.26144099999999 34.30501000000002, -118.263413 34.304812, -118.2645 34.302737999999984, -118.26947800000002 34.299916000000024, -118.274197 34.298567999999996, -118.27676600000001 34.299327, -118.289804 34.289665000000014, -118.292377 34.28328799999997, -118.298033 34.277647, -118.30121400000002 34.27632599999998, -118.308947 34.276353999999984, -118.315679 34.272406000000004, -118.315768 34.259705000000004, -118.329196 34.259838, -118.33830600000002 34.268468, -118.343778 34.27102899999999, -118.377658 34.274515, -118.396495 34.278349, -118.43202100000002 34.310645000000015, -118.448126 34.32276300000002, -118.462084 34.32392800000001, -118.478958 34.323088000000006, -118.488697 34.317187, -118.50158999999998 34.324754000000006, -118.506641 34.33720699999998, -118.50373500000002 34.34780700000002, -118.506271 34.35704799999999, -118.50553600000002 34.361351, -118.49903099999999 34.37250300000003, -118.48765400000002 34.382687000000026, -118.475799 34.39056, -118.46996300000002 34.392014)"
97797,12,"LINESTRING (-101.378243 33.191998000000005, -101.380326 33.20022000000001, -101.4363 33.21978, -101.490202 33.274639, -101.556444 33.35971000000001, -101.661989 33.431446, -101.668046 33.45889500000001, -101.770532 33.51604600000001, -101.790696 33.535711, -101.793742 33.533744999999996, -101.788087 33.543309999999984, -101.78798900000001 33.596290000000025, -101.80718200000001 33.612944, -101.820146 33.61280800000001)"
97978,103515,"LINESTRING (-96.972762 30.867987000000007, -96.977245 30.853300999999988, -96.991654 30.856918000000004, -97.021802 30.848375999999988, -97.080915 30.850050000000003, -97.082949 30.846231000000003, -97.094271 30.846704000000017, -97.147254 30.71028799999999, -97.192382 30.696918000000007, -97.196136 30.694432, -97.191519 30.68345900000002, -97.21492600000002 30.681301999999995, -97.249069 30.670187999999992, -97.273522 30.671028999999997, -97.294532 30.622821000000013, -97.283165 30.593728000000002, -97.40835 30.568776999999994, -97.436078 30.567878000000007, -97.469459 30.556513000000006, -97.562768 30.540396999999995, -97.59155800000002 30.475763000000008, -97.635002 30.48896799999999, -97.67463 30.480736999999987, -97.66647 30.451523999999996, -97.671891 30.424594999999993, -97.682101 30.429049000000013)"
3905,4089,"LINESTRING (-111.265134 32.046001000000004, -111.265844 32.095664, -111.216622 32.11538999999999, -111.21684 32.40253100000001, -111.233898 32.40249600000001, -111.234144 32.460510000000006, -111.216185 32.462269999999975, -111.262462 32.49564699999999, -111.381632 32.64016000000002, -111.679743 32.81502700000001, -111.690082 32.87906600000001)"
4306,15535,"LINESTRING (-114.482993 34.779011000000004, -114.478283 34.718369999999986, -114.531208 34.71918399999999, -114.577404 34.766855000000014, -114.59692000000001 34.82444399999997, -114.614999 34.846704999999986, -114.66788000000001 34.88188000000002, -114.69958200000002 34.89173900000001, -114.754931 34.87829400000002, -114.787904 34.882614000000025, -114.88721199999999 34.855478000000005, -114.92441500000001 34.858039000000005, -115.02738 34.829649, -115.31515100000001 34.80154600000001, -115.370923 34.80347299999999, -115.55684100000002 34.733976, -115.636477 34.724064999999996, -115.769763 34.717304, -115.88016099999999 34.73659999999997, -116.044063 34.71590900000002, -116.082653 34.72768999999998, -116.163755 34.724002)"
72146,7,"LINESTRING (-104.637258 34.946377, -104.70496800000001 34.945711, -104.741062 34.963589, -104.787453 34.96891499999999, -104.991061 34.97709699999999, -104.991302 34.99448500000001, -105.015583 35.06851600000001, -105.026716 35.12613700000002, -105.073876 35.21128100000002, -105.11651 35.254434000000025, -105.12368 35.28618600000002, -105.145519 35.314417, -105.151586 35.341294999999995, -105.19759 35.375481, -105.208171 35.414759000000004, -105.210937 35.455265, -105.249295 35.52022, -105.231133 35.531458000000015, -105.222744 35.565757, -105.21221 35.575491, -105.207828 35.595282000000005, -105.201504 35.597558000000014, -105.18131500000001 35.60156, -105.133616 35.59426700000001, -104.932925 35.59427999999999, -104.919401 35.60102299999998, -104.91924800000001 35.55078700000001, -104.908436 35.536080999999996, -104.907687 35.514552, -104.902061 35.505389, -104.883915 35.49883699999999, -104.880112 35.491874, -104.86253 35.489748000000006, -104.858437 35.484138, -104.855331 35.486498, -104.849779 35.46959700000001, -104.844207 35.46682800000003, -104.80305200000001 35.478489000000025, -104.800111 35.488268)"
108127,19,"LINESTRING (-100.993906 31.836995999999985, -101.023007 31.843196999999986, -101.07472 31.89367500000001, -101.126015 31.906389999999995, -101.188531 31.95287400000002, -101.239847 31.96930400000002, -101.364345 32.06305699999999, -101.417417 32.108034999999994, -101.472101 32.17286700000001, -101.47814 32.194663999999996, -101.486701 32.197022999999994, -101.52163100000001 32.190087, -101.534654 32.195710999999996, -101.55456 32.24287399999998, -101.55125500000001 32.26552500000001, -101.712764 32.27147000000001, -101.858036 32.30156199999998, -101.917591 32.307525, -101.95097 32.305620000000005)"
