hub,latitude,longitude,type,status
3944,32.076,-111.313,Destination,1
4131,33.066,-112.048,Destination,1
4524,34.781,-111.763,Destination,1
6740,38.444,-120.533,Destination,1
6932,36.852,-119.683,Destination,1
7992,38.918,-121.06,Destination,1
10795,33.051,-116.844,Destination,1
14967,37.774,-121.979,Destination,1
13756,33.979,-118.119,Destination,1
72064,34.517,-106.247,Destination,1
96241,27.684,-99.461,Destination,1
96675,29.419,-98.589,Destination,1
99820,32.896,-96.871,Destination,1
102098,29.738,-95.535,Destination,1
102557,30.353,-94.074,Destination,1
102826,27.593,-97.782,Destination,1
103914,30.285,-97.661,Destination,1
106128,31.74,-99.944,Destination,1
107761,31.302,-105.842,Destination,1
4612,35.203,-111.408,In Route,1
6590,35.988,-119.96,In Route,1
15427,34.848,-117.082,In Route,1
72063,34.996,-105.377,In Route,1
98014,32.448,-100.442,In Route,1
99923,32.736,-101.95,In Route,1
107700,34.291,-99.749,In Route,1
110122,28.112,-97.82,In Route,1
4388,35.041,-110.697,In Route,1
4452,31.964,-110.344,In Route,1
9782,33.721,-116.203,In Route,1
12053,34.392,-118.47,In Route,1
15535,34.724,-116.164,In Route,1
71635,35.114,-103.302,In Route,1
96040,30.073,-99.234,In Route,1
98017,32.487,-100.209,In Route,1
102507,32.259,-101.454,In Route,1
108208,31.04,-104.82,In Route,1
4089,32.879,-111.69,In Route,1
71686,34.425,-103.627,In Route,1
5978,35.055,-118.174,In Route,1
107010,33.858,-98.536,In Route,1
72105,31.847,-106.624,In Route,1
98043,30.902,-102.912,In Route,1
5094,33.495,-112.936,In Route,1
97987,31.47,-98.568,In Route,1
8749,37.705,-121.91,In Route,1
107617,30.7,-101.207,In Route,1
7966,38.791,-121.313,In Route,1
4704,33.306,-111.964,In Route,1
97954,30.543,-98.357,In Route,1
4507,35.219,-112.499,In Route,1
98063,30.856,-102.07,In Route,1
109093,31.129,-99.335,In Route,1
14201,37.812,-121.294,In Route,1
107706,34.256,-99.51,In Route,1
71817,32.234,-108.953,In Route,1
107575,29.692,-96.539,In Route,1
100303,34.941,-100.894,In Route,1
107195,28.994,-98.429,In Route,1
6392,38.576,-121.55,In Route,1
104301,30.008,-97.139,In Route,1
97689,32.198,-96.9,In Route,1
103349,32.635,-100.764,In Route,1
4400,34.974,-110.09,In Route,1
109323,31.066,-104.142,In Route,1
107687,31.705,-98.129,In Route,1
96087,31.258,-95.986,In Route,1
100372,30.377,-96.069,In Route,1
4093,33.028,-111.772,In Route,1
7080,37.017,-120.13,In Route,1
5944,35.352,-119.123,In Route,1
71763,35.179,-107.904,In Route,1
5954,35.127,-118.413,In Route,1
95899,32.046,-97.091,In Route,1
3700,33.411,-110.843,In Route,1
5947,34.983,-118.947,In Route,1
71769,35.038,-107.374,In Route,1
71816,32.341,-108.714,In Route,1
96119,30.988,-94.825,In Route,1
103515,30.429,-97.682,In Route,1
103399,32.489,-99.748,In Route,1
4254,33.657,-114.242,In Route,1
4287,35.191,-114.07,In Route,1
100475,29.765,-95.752,In Route,1
102642,30.507,-99.776,In Route,1
4219,35.354,-109.057,In Route,1
72049,35.01,-105.668,In Route,1
4024,32.713,-114.668,In Route,1
104199,33.184,-102.817,In Route,1
4395,34.257,-110.024,In Route,1
108027,33.54,-97.835,In Route,1
97978,30.868,-96.973,In Route,1
72146,34.946,-104.637,In Route,1
97797,33.192,-101.378,In Route,1
4122,32.647,-111.391,In Route,1
95776,29.851,-97.975,In Route,1
4039,32.691,-113.954,In Route,1
107805,31.055,-98.179,In Route,1
107762,31.173,-105.358,In Route,1
4306,34.779,-114.483,In Route,1
103269,31.399,-103.481,In Route,1
4705,33.437,-112.137,In Route,1
71615,32.273,-107.714,In Route,1
5966,35.532,-119.188,In Route,1
98241,33.19,-102.274,In Route,1
71843,34.048,-106.892,In Route,1
104284,30.121,-97.432,In Route,1
11873,37.673,-121.032,In Route,1
71861,35.481,-108.433,In Route,1
4248,33.624,-114.437,In Route,1
107760,31.169,-105.657,In Route,1
9389,32.796,-115.562,In Route,1
10250,33.661,-115.72,In Route,1
108127,31.837,-100.994,In Route,1
9661,37.939,-120.608,In Route,1
4205,34.133,-109.277,In Route,1
4740,32.93,-112.673,In Route,1
5956,34.819,-118.884,In Route,1
96359,33.393,-97.73,In Route,1
4256,33.634,-113.769,In Route,1
4713,33.437,-112.41,In Route,1
6134,35.012,-117.644,In Route,1
71837,34.245,-105.596,In Route,1
98776,32.988,-96.842,In Route,1
105243,31.315,-95.436,In Route,1
97671,32.535,-96.665,In Route,1
4283,34.864,-114.143,In Route,1
107644,32.096,-98.966,In Route,1
71623,32.239,-107.409,In Route,1
71852,35.506,-108.836,In Route,1
105567,33.578,-101.953,In Route,1
96096,31.093,-95.964,In Route,1
102692,32.137,-101.805,In Route,1
3905,32.046,-111.265,In Route,1
98382,30.64,-96.249,In Route,1
4463,32.081,-110.051,In Route,1
6784,36.577,-119.632,In Route,1
