startHub,endHub,road_geometry
98063,102507,"LINESTRING (-102.070077 30.855903999999995, -102.092353 30.87007100000002, -102.01721800000001 30.92039400000001, -101.985815 30.919879000000016, -101.967061 30.935893000000018, -101.975981 30.98405799999999, -102.00423 31.019123999999987, -102.01115000000001 31.104769000000008, -101.99733300000001 31.19041800000001, -101.9392 31.222702, -101.935871 31.483469999999986, -102.025909 31.76339400000001, -102.02809100000002 31.825804000000016, -102.073768 31.971725999999997, -102.037336 31.983385999999992, -101.97645 32.048117000000005, -101.832297 32.113737, -101.80826300000001 32.13756699999999, -101.759943 32.14031000000001, -101.645509 32.181444000000006, -101.572706 32.22186400000002, -101.527204 32.232731999999984, -101.503241 32.260551999999976, -101.471338 32.267009, -101.454078 32.258983)"
104199,105567,"LINESTRING (-102.817214 33.183707000000005, -102.275032 33.179238999999995, -102.273212 33.200559, -102.175501 33.391416000000014, -102.146521 33.426396999999994, -102.030451 33.49761100000001, -102.00565100000001 33.50366599999999, -101.995653 33.51817800000001, -101.957077 33.542220000000015, -101.957215 33.577816999999996, -101.953 33.57811800000001)"
4705,4704,"LINESTRING (-112.137 33.436999999999976, -112.108652 33.436725999999986, -112.10857 33.42946300000001, -112.103079 33.42832400000001, -112.087982 33.42964799999999, -112.070851 33.428184, -112.062489 33.42897, -112.030015 33.42645199999999, -112.022865 33.423402, -112.01415300000001 33.41410800000001, -112.00916200000002 33.411332000000016, -111.979716 33.410756000000006, -111.97125500000001 33.407827000000005, -111.968519 33.404376000000006, -111.967606 33.400308, -111.968201 33.370264999999996, -111.972329 33.34570300000001, -111.973042 33.30523500000002, -111.964185 33.306064)"
3700,4093,"LINESTRING (-110.842982 33.41099999999999, -110.897694 33.380675, -110.939452 33.367522, -110.94422300000001 33.361443000000016, -110.972067 33.365610000000004, -110.998245 33.343039999999995, -111.014065 33.341536, -111.03022 33.33246, -111.037115 33.315027, -111.089013 33.303450000000005, -111.088431 33.29381, -111.103936 33.287772999999994, -111.160086 33.284409000000004, -111.189448 33.272606999999994, -111.230865 33.276749, -111.262761 33.263228000000005, -111.337928 33.25695700000001, -111.360589 33.12427300000002, -111.372723 33.09877, -111.379119 33.03128699999999, -111.387482 33.03132899999999, -111.388708 33.019470999999996, -111.457759 33.002891000000005, -111.608646 33.002572000000015, -111.63607 33.02148699999999, -111.740138 33.002995000000006, -111.75452 33.005512, -111.77198 33.028010999999985)"
97978,103515,"LINESTRING (-96.972762 30.867987000000007, -96.977245 30.853300999999988, -96.991654 30.856918000000004, -97.021802 30.848375999999988, -97.080915 30.850050000000003, -97.082949 30.846231000000003, -97.094271 30.846704000000017, -97.147254 30.71028799999999, -97.192382 30.696918000000007, -97.196136 30.694432, -97.191519 30.68345900000002, -97.21492600000002 30.681301999999995, -97.249069 30.670187999999992, -97.273522 30.671028999999997, -97.294532 30.622821000000013, -97.283165 30.593728000000002, -97.40835 30.568776999999994, -97.436078 30.567878000000007, -97.469459 30.556513000000006, -97.562768 30.540396999999995, -97.59155800000002 30.475763000000008, -97.635002 30.48896799999999, -97.67463 30.480736999999987, -97.66647 30.451523999999996, -97.671891 30.424594999999993, -97.682101 30.429049000000013)"
3905,4089,"LINESTRING (-111.265134 32.046001000000004, -111.265844 32.095664, -111.216622 32.11538999999999, -111.21684 32.40253100000001, -111.233898 32.40249600000001, -111.234144 32.460510000000006, -111.216185 32.462269999999975, -111.262462 32.49564699999999, -111.381632 32.64016000000002, -111.679743 32.81502700000001, -111.690082 32.87906600000001)"
96675,96040,"LINESTRING (-98.589156 29.418936999999985, -98.59962 29.427067000000008, -98.60236 29.473731, -98.551456 29.49623200000001, -98.548969 29.504008999999986, -98.556157 29.524534, -98.584868 29.549845000000005, -98.613455 29.63497399999999, -98.663993 29.71751700000001, -98.749463 29.789416999999997, -98.75568400000002 29.820925999999975, -98.774544 29.838637000000006, -98.789105 29.86564099999999, -98.824774 29.910275000000016, -98.859116 29.928704999999997, -98.885095 29.953802000000003, -98.897011 29.976971999999996, -98.929046 29.990938999999997, -98.967084 30.020540999999987, -98.976717 30.033809, -99.011057 30.052674000000007, -99.033313 30.054170000000013, -99.057228 30.067845999999975, -99.134006 30.07381700000001, -99.151956 30.09013699999998, -99.15084700000001 30.074328, -99.16462700000001 30.05913100000001, -99.194737 30.07366, -99.234548 30.072927000000004)"
14967,6392,"LINESTRING (-121.97885000000001 37.77417400000001, -121.994605 37.82496799999999, -122.070742 37.89670900000002, -122.052424 37.95838299999999, -122.068201 37.992621, -122.11550000000001 38.02785100000001, -122.129179 38.05286, -122.13089400000001 38.064314999999986, -122.10306100000001 38.10565700000001, -122.11010899999998 38.146117999999994, -122.13732900000001 38.18874099999999, -122.137365 38.216228000000015, -122.07012199999998 38.24927100000001, -122.03479400000002 38.290909, -122.03233500000002 38.314257000000005, -122.014558 38.339014, -121.963908 38.364755999999986, -121.762576 38.526113999999986, -121.725166 38.545881, -121.550186 38.576325000000004)"
4306,15535,"LINESTRING (-114.482993 34.779011000000004, -114.478283 34.718369999999986, -114.531208 34.71918399999999, -114.577404 34.766855000000014, -114.59692000000001 34.82444399999997, -114.614999 34.846704999999986, -114.66788000000001 34.88188000000002, -114.69958200000002 34.89173900000001, -114.754931 34.87829400000002, -114.787904 34.882614000000025, -114.88721199999999 34.855478000000005, -114.92441500000001 34.858039000000005, -115.02738 34.829649, -115.31515100000001 34.80154600000001, -115.370923 34.80347299999999, -115.55684100000002 34.733976, -115.636477 34.724064999999996, -115.769763 34.717304, -115.88016099999999 34.73659999999997, -116.044063 34.71590900000002, -116.082653 34.72768999999998, -116.163755 34.724002)"
3700,4205,"LINESTRING (-110.842982 33.41099999999999, -110.807721 33.41997299999998, -110.782242 33.392708000000006, -110.747126 33.401524000000016, -110.72516 33.431678000000005, -110.723323 33.476093, -110.700805 33.510695000000005, -110.692174 33.54736600000001, -110.626708 33.609497, -110.607557 33.61393300000001, -110.575838 33.64029699999999, -110.569353 33.691762, -110.539078 33.70587100000003, -110.503454 33.79047100000002, -110.49322 33.78797899999999, -110.506758 33.799968, -110.489727 33.797053999999996, -110.48505900000002 33.80646299999999, -110.465922 33.80858400000002, -110.462037 33.825420999999984, -110.426172 33.84268499999999, -110.412693 33.86507899999999, -110.36782700000002 33.898569, -110.358221 33.92874500000001, -110.339002 33.93433400000002, -110.314179 33.975717, -110.282314 33.98245200000002, -110.28005 33.99813499999998, -110.241783 34.01486899999999, -110.24087 34.037355000000005, -110.167422 34.09846799999999, -110.108171 34.13036400000002, -110.090382 34.193450999999996, -110.063567 34.236483, -110.039848 34.251865000000016, -109.833538 34.28624, -109.732585 34.27018099999997, -109.561112 34.263500000000015, -109.479571 34.22019800000002, -109.33626221160614 34.18703835289758, -109.27699532078151 34.132805296212084)"
