startHub,endHub,kmLength_euclid,kmLength_road,exist_pipeline
cochiseAZ,pinalAZ,188.0060684,239.537,0
alamedaCA,fresnoCA,222.4131972,259.0876,0
coconinoAZ,laPazAZ,309.6192235,418.223,0
caldwellTX,102098,202.5545969,239.9541,0
laPazAZ,losAngelesCA,396.9710134,464.1382,0
sanMiguelNM,carsonTX,313.387346,402.5911,0
kinneyTX,laSalleTX,169.9071852,229.5154,0
coconinoAZ,mckinleyNM,318.2900891,509.8594,0
libertyTX,102557,74.70212956,137.3744,0
martinTX,chavesNM,261.9202125,324.0256,0
sanMiguelNM,lubbockTX,343.8147391,490.2514,0
chavesNM,lubbockTX,246.0912886,283.5677,0
sutterCA,fresnoCA,311.9864744,345.8236,0
cochiseAZ,coconinoAZ,475.5949128,699.7785,0
trinityCA,fresnoCA,530.256283,639.7935,0
caldwellTX,sanPatricioTX,203.7221607,230.6947,0
102098,102557,156.2292156,197.0081,0
sanPatricioTX,brooksTX,128.4248448,157.7144,0
martinTX,carsonTX,347.6955248,403.2989,0
nacogdochesTX,libertyTX,163.2261917,201.6659,0
caldwellTX,kinneyTX,275.1532262,316.5078,0
chavesNM,sierraNM,255.0846696,364.8176,0
coconinoAZ,pinalAZ,326.7285472,494.4808,0
martinTX,lubbockTX,145.2751576,158.0565,0
millsTX,caldwellTX,205.2665795,229.5318,0
nacogdochesTX,102098,225.9543298,252.3719,0
dallasTX,baylorTX,245.1534901,307.0014,0
libertyTX,caldwellTX,273.1106472,336.2366,0
mckinleyNM,sanMiguelNM,313.7897659,454.9719,0
mckinleyNM,sierraNM,288.7798747,418.5142,0
sanBernardinoCA,laPazAZ,236.7122833,379.8636,0
brooksTX,102826,75.85008439,97.8344,0
jeffDavisTX,martinTX,271.9940202,331.46,0
libertyTX,102098,83.10850107,104.1456,0
jeffDavisTX,chavesNM,294.7191685,387.9521,0
martinTX,106128,199.272752,229.8787,0
schleicherTX,caldwellTX,302.1083659,409.2631,0
nacogdochesTX,dallasTX,239.8043159,285.7307,0
millsTX,baylorTX,241.2230648,348.5955,0
martinTX,taylorTX,193.6547041,225.8572,0
cochiseAZ,laPazAZ,444.7366299,523.8223,0
millsTX,schleicherTX,196.7236873,239.8056,0
dallasTX,99393,14.00163226,16.037,0
caldwellTX,laSalleTX,218.9503228,273.5179,0
nacogdochesTX,99393,252.5141442,303.1195,0
millsTX,dallasTX,221.7754961,270.004,0
brooksTX,laSalleTX,168.5071021,231.2075,0
baylorTX,106128,218.6098869,256.1999,0
baylorTX,99393,233.6986004,295.6575,0
millsTX,106128,130.7139062,145.3891,0
schleicherTX,martinTX,205.8375096,260,0
millsTX,kinneyTX,295.4726654,384.5057,0
millsTX,taylorTX,151.4258013,191.61,0
millsTX,99393,223.7027747,281.1446,0
fresnoCA,losAngelesCA,299.1621614,342.0571,0
jeffDavisTX,schleicherTX,344.7806664,442.7142,0
sutterCA,alamedaCA,156.1582308,184.8955,0
13756,sanBernardinoCA,202.6375121,260.8393,0
trinityCA,alamedaCA,352.7266416,451.1359,0
taylorTX,lubbockTX,231.191629,272.7478,0
13756,fresnoCA,337.7286322,367.2627,0
taylorTX,baylorTX,158.4904919,188.063,0
lubbockTX,baylorTX,241.8522248,256.4679,0
carsonTX,lubbockTX,203.0767301,249.7238,0
jeffDavisTX,sierraNM,392.2248167,496.2835,0
schleicherTX,106128,109.3617631,135.9915,0
carsonTX,baylorTX,279.4514915,344.7862,0
sanPatricioTX,102826,52.7125731,58.8108,0
13756,losAngelesCA,39.20442444,54.2425,0
sanBernardinoCA,losAngelesCA,196.3966419,279.1313,0
schleicherTX,kinneyTX,171.1853563,238.5066,0
schleicherTX,taylorTX,167.646402,197.5422,0
kinneyTX,106128,268.4611985,315.1935,0
cochiseAZ,mckinleyNM,431.4409428,695.8668,0
102826,laSalleTX,154.1382996,189.5528,0
trinityCA,sutterCA,218.3705738,295.6747,0
taylorTX,106128,62.52608329,82.7897,0
laPazAZ,pinalAZ,260.7818547,320.8538,0
sanMiguelNM,chavesNM,237.4281481,347.7276,0
cochiseAZ,sierraNM,277.3194818,406.5958,0
sanPatricioTX,laSalleTX,160.5747353,190.3169,0
sanMiguelNM,sierraNM,340.6766389,491.3943,0
nacogdochesTX,102557,149.4463132,194.8717,0
