startHub,endHub,kmLength_euclid,kmLength_road,exist_pipeline
millsTX,baylorTX,241.22306480395463,348.5955,0
baylorTX,106128,218.60988692248205,256.1999,0
martinTX,taylorTX,193.65470406937067,225.8572,0
millsTX,kinneyTX,295.47266535874155,384.5057,0
kinneyTX,laSalleTX,169.9071852315994,229.5154,0
jeffDavisTX,chavesNM,294.71916845022724,387.9521,0
millsTX,99393,223.7027746504052,281.14459999999997,0
nacogdochesTX,dallasTX,239.8043158705246,285.7307,0
sutterCA,fresnoCA,311.98647435217816,345.8236,0
lubbockTX,baylorTX,241.85222481515532,256.4679,0
taylorTX,baylorTX,158.4904918802475,188.063,0
13756,losAngelesCA,39.20442443792758,54.2425,0
kinneyTX,106128,268.46119845736257,315.1935,0
caldwellTX,102098,202.55459688399338,239.9541,0
coconinoAZ,pinalAZ,326.7285471856522,494.4808,0
libertyTX,102557,74.70212956379028,137.37439999999998,0
caldwellTX,kinneyTX,275.1532262190879,316.5078,0
laPazAZ,pinalAZ,260.7818546551251,320.8538,1
nacogdochesTX,99393,252.51414420524677,303.1195,0
dallasTX,baylorTX,245.1534901334839,307.00140000000005,0
coconinoAZ,laPazAZ,309.61922349029106,418.223,0
mckinleyNM,sanMiguelNM,313.78976592902063,454.9719,0
coconinoAZ,mckinleyNM,318.29008909930303,509.85940000000005,0
trinityCA,sutterCA,218.37057383239767,295.67470000000003,0
millsTX,dallasTX,221.77549614359197,270.004,0
brooksTX,102826,75.85008439488324,97.83439999999999,0
sanMiguelNM,carsonTX,313.38734602709445,402.5911,0
trinityCA,alamedaCA,352.7266416015905,451.13590000000005,0
sanBernardinoCA,laPazAZ,236.71228325716407,379.86359999999996,0
cochiseAZ,coconinoAZ,475.59491280028345,699.7785,0
nacogdochesTX,libertyTX,163.22619170237104,201.6659,0
13756,fresnoCA,337.72863215636823,367.2627,0
dallasTX,99393,14.001632257650428,16.037,0
sanMiguelNM,lubbockTX,343.8147391467256,490.25140000000005,0
carsonTX,lubbockTX,203.07673006044763,249.72379999999998,0
libertyTX,caldwellTX,273.11064718278567,336.23659999999995,1
mckinleyNM,sierraNM,288.7798747102432,418.5142,0
sanPatricioTX,brooksTX,128.42484481908576,157.71439999999998,0
sanPatricioTX,laSalleTX,160.5747352801236,190.3169,0
nacogdochesTX,102557,149.44631321756287,194.8717,0
sanMiguelNM,sierraNM,340.6766389015739,491.3943,0
sanMiguelNM,chavesNM,237.42814805368474,347.7276,0
millsTX,caldwellTX,205.2665794583495,229.53179999999998,0
schleicherTX,caldwellTX,302.10836588454555,409.26309999999995,1
millsTX,106128,130.71390616303393,145.3891,0
schleicherTX,106128,109.36176310477383,135.9915,0
cochiseAZ,pinalAZ,188.00606837683284,239.537,1
trinityCA,fresnoCA,530.2562829597526,639.7935,0
cochiseAZ,laPazAZ,444.7366299332062,523.8223,0
schleicherTX,martinTX,205.83750959606405,260.0,0
cochiseAZ,mckinleyNM,431.44094277989336,695.8668,0
fresnoCA,losAngelesCA,299.16216138401995,342.0571,0
baylorTX,99393,233.69860035471018,295.6575,0
caldwellTX,sanPatricioTX,203.722160734912,230.6947,0
libertyTX,102098,83.10850107455794,104.1456,0
taylorTX,106128,62.526083292652714,82.7897,0
millsTX,schleicherTX,196.72368733007343,239.8056,0
martinTX,lubbockTX,145.2751575996165,158.0565,0
cochiseAZ,sierraNM,277.31948183866615,406.5958,1
taylorTX,lubbockTX,231.1916289779986,272.7478,0
jeffDavisTX,martinTX,271.9940201672304,331.46,0
alamedaCA,fresnoCA,222.41319721348958,259.0876,0
laPazAZ,losAngelesCA,396.9710134437889,464.1382,1
schleicherTX,kinneyTX,171.18535625974212,238.5066,0
102098,102557,156.22921559998576,197.0081,0
sanBernardinoCA,losAngelesCA,196.39664192505492,279.1313,0
caldwellTX,laSalleTX,218.9503228025598,273.5179,0
carsonTX,baylorTX,279.45149151743936,344.7862,0
jeffDavisTX,sierraNM,392.22481668557464,496.2835,1
chavesNM,lubbockTX,246.09128864716115,283.5677,0
martinTX,chavesNM,261.9202125104451,324.0256,0
jeffDavisTX,schleicherTX,344.78066639285106,442.7142,1
sanPatricioTX,102826,52.712573097112674,58.8108,0
nacogdochesTX,102098,225.95432977004623,252.37189999999998,0
102826,laSalleTX,154.13829956294873,189.5528,0
millsTX,taylorTX,151.425801253524,191.61,0
schleicherTX,taylorTX,167.6464019650595,197.5422,0
brooksTX,laSalleTX,168.5071020532611,231.2075,0
martinTX,carsonTX,347.69552479808084,403.2989,0
martinTX,106128,199.2727520157339,229.8787,0
sutterCA,alamedaCA,156.1582307939176,184.8955,0
chavesNM,sierraNM,255.08466961434937,364.81759999999997,0
13756,sanBernardinoCA,202.6375121113462,260.8393,0
