hub,type,latitude,longitude,status
trinityCA,county,40.64754081,-123.1040176,0
sutterCA,county,39.03361022,-121.6882005,0
alamedaCA,county,37.64275382,-121.8775366,0
fresnoCA,county,36.7542967,-119.641139,0
coconinoAZ,county,35.84145071,-111.759932,0
mckinleyNM,county,35.57978793,-108.2602922,0
sanMiguelNM,county,35.48868267,-104.8042461,0
sanBernardinoCA,county,34.84387259,-116.1759926,0
carsonTX,county,35.40342547,-101.3557841,0
laPazAZ,county,33.73341025,-113.9782551,0
chavesNM,county,33.36674668,-104.4555334,0
lubbockTX,county,33.6126553,-101.820058,0
baylorTX,county,33.61483029,-99.21047316,0
sierraNM,county,33.13291115,-107.182938,0
losAngelesCA,county,34.32209948,-118.2225598,0
pinalAZ,county,32.91428377,-111.3483757,0
dallasTX,county,32.77382278,-96.77460664,0
taylorTX,county,32.30319236,-99.89062332,0
martinTX,county,32.30518004,-101.9509324,0
cochiseAZ,county,31.89035773,-109.7507191,0
nacogdochesTX,county,31.62004685,-94.61748025,0
millsTX,county,31.49944535,-98.59233682,0
jeffDavisTX,county,30.7171973,-104.1414386,0
schleicherTX,county,30.89254422,-100.5366337,0
libertyTX,county,30.15482974,-94.81749325,0
caldwellTX,county,29.84087424,-97.63039017,0
kinneyTX,county,29.34873755,-100.4193132,0
laSalleTX,county,28.34334911,-99.102014,0
sanPatricioTX,county,28.00346828,-97.51134264,0
brooksTX,county,27.03650074,-98.22794913,0
