startHub,endHub,road_geometry
millsTX,baylorTX,"LINESTRING (-98.59053000000002 31.49965200000001, -98.586019 31.513626, -98.66492 31.55987600000002, -98.747964 31.646920999999978, -98.945335 31.742470000000004, -99.016965 31.720852000000004, -99.13438 31.716698999999995, -99.334469 31.742931999999996, -99.534404 31.951784000000004, -99.65231 32.020347000000015, -99.751686 32.15667199999999, -99.74200000000002 32.381964999999994, -99.786973 32.431537, -99.750864 32.517793000000005, -99.896511 32.737030999999995, -99.868713 32.86459899999999, -99.769921 33.036711999999994, -99.619262 33.447316, -99.52143700000002 33.46454600000001, -99.210454 33.61036300000001)"
baylorTX,106128,"LINESTRING (-99.210454 33.61036300000001, -99.522228 33.464476999999995, -99.619435 33.44747000000002, -99.77063900000002 33.036271000000006, -99.869054 32.86446900000001, -99.89689100000001 32.737641999999994, -99.752885 32.52054400000001, -99.787172 32.43102200000001, -99.745027 32.389335, -99.742477 32.34496599999998, -99.759973 32.22591, -99.794197 32.215953999999996, -99.810333 32.16787000000001, -99.951451 32.03179200000004, -99.963586 31.910139000000015, -99.934507 31.81220700000001, -99.944147 31.739905000000018)"
martinTX,taylorTX,"LINESTRING (-101.95097 32.305620000000005, -101.858036 32.30156199999998, -101.71123 32.27133400000001, -101.446146 32.261413, -101.223904 32.307429999999975, -101.200305 32.32511800000001, -101.010988 32.35396999999998, -100.959877 32.38607699999999, -100.906758 32.39298900000002, -100.87328600000001 32.40944599999999, -100.85344400000001 32.41237900000001, -100.81837 32.397163, -100.717112 32.41520299999999, -100.681274 32.40677000000002, -100.46663 32.45341700000001, -100.394856 32.450742999999996, -100.358782 32.48378399999999, -100.269035 32.49625600000002, -100.200485 32.484980000000014, -100.125908 32.49574700000001, -100.03785 32.474098000000005, -100.013706 32.477828999999964, -99.943291 32.461353, -99.872841 32.459103, -99.867608 32.411968, -99.847466 32.373547, -99.891327 32.33781100000001, -99.903244 32.31832899999996, -99.89136 32.30672899999998)"
millsTX,kinneyTX,"LINESTRING (-98.59053000000002 31.49965200000001, -98.567535 31.446438999999994, -98.617799 31.428052000000005, -98.672586 31.359654999999993, -98.673675 31.299731999999985, -98.718417 31.195835999999986, -98.875405 31.230815999999997, -98.942631 31.269897999999987, -99.20203 31.232648000000015, -99.273709 31.157007999999983, -99.334723 31.146205999999996, -99.385362 31.03865699999999, -99.782496 30.939695999999998, -99.788039 30.905920999999996, -99.763882 30.877394000000002, -99.788554 30.619306999999992, -99.764709 30.532927999999984, -99.781431 30.481508999999992, -99.888983 30.391738, -99.91043 30.291005999999996, -100.02114 30.221784000000003, -100.110552 30.09552, -100.406454 29.891300999999984, -100.399645 29.811996000000008, -100.420179 29.794898999999987, -100.394163 29.742066999999995, -100.426923 29.719997999999993, -100.431146 29.662221000000002, -100.393184 29.505477000000013, -100.417834 29.462756000000013, -100.406477 29.33951299999999, -100.422247 29.348014999999993)"
kinneyTX,laSalleTX,"LINESTRING (-100.422247 29.348014999999993, -100.420519 29.33966, -100.406477 29.33951299999999, -100.418663 29.309277, -100.412059 29.305676, -100.17363500000002 29.240610000000014, -100.127597 29.231795999999992, -100.07761 29.243294, -99.879628 29.202451999999997, -99.814271 29.199378, -99.78615500000001 29.209594, -99.747298 29.106349000000026, -99.622565 28.960552, -99.513475 28.951659, -99.495555 28.940630000000017, -99.301426 28.944479000000012, -99.270838 28.947611, -99.243069 28.972253999999992, -99.116603 28.901153999999984, -99.107197 28.85942700000001, -99.140628 28.744883999999992, -99.183285 28.676609999999997, -99.178826 28.640752999999997, -99.238012 28.45160399999998, -99.235169 28.436855000000005, -99.222941 28.442433999999995, -99.211558 28.43505200000001, -99.195153 28.394103000000023, -99.153405 28.353544, -99.11058800000002 28.332964)"
jeffDavisTX,chavesNM,"LINESTRING (-104.13918900000002 30.715476000000002, -104.16787500000001 30.788524000000002, -104.148109 30.92270700000001, -104.216638 31.065903, -104.157187 31.06062300000001, -104.05896 31.085544000000002, -103.799188 31.306625000000007, -103.494342 31.425869, -103.643242 31.63843900000001, -103.787644 31.68468499999999, -104.058089 32.02669100000001, -104.064445 32.19377500000001, -104.106349 32.29945499999998, -104.219145 32.39020600000003, -104.229443 32.435336, -104.396269 32.52557999999999, -104.42180400000001 32.58607400000001, -104.395465 32.654156000000015, -104.400905 32.877168999999995, -104.438678 32.924326, -104.46637300000002 33.302286, -104.509204 33.349993000000005, -104.461378 33.350263, -104.455951 33.368514000000005)"
millsTX,99393,"LINESTRING (-98.59053000000002 31.49965200000001, -98.578464 31.499258999999995, -98.561737 31.454298999999985, -98.205574 31.48522100000001, -98.151357 31.479183000000027, -98.158818 31.614818999999976, -98.119189 31.717589, -98.123282 31.778030999999995, -98.106717 31.87868500000002, -98.03949 31.962583000000006, -97.995745 32.06027000000002, -97.922695 32.151592000000015, -97.87161400000001 32.186815000000024, -97.798861 32.19826499999999, -97.77389 32.232306999999984, -97.697785 32.26461299999998, -97.596084 32.28477100000001, -97.55204 32.305091999999995, -97.469792 32.31376399999999, -97.43682 32.330536, -97.444666 32.360342, -97.422009 32.375524000000006, -97.330997 32.38433300000002, -97.232694 32.415727, -97.167771 32.416056, -97.012977 32.473281000000014, -96.988261 32.50017400000001, -96.964939 32.57167599999998, -96.831462 32.705266000000016, -96.82338 32.73860399999999, -96.809568 32.748750000000015, -96.804078 32.767333000000015, -96.81821 32.799079, -96.815541 32.820506, -96.855288 32.86139600000002, -96.85595700000002 32.88)"
nacogdochesTX,dallasTX,"LINESTRING (-94.614162 31.619783999999992, -94.616811 31.642496000000012, -94.655953 31.652017999999988, -94.67822 31.708179999999984, -94.68304 31.925236000000023, -94.790472 32.144341000000004, -94.788302 32.171662, -94.838133 32.212668, -94.855625 32.244059, -94.868313 32.286821, -94.869063 32.37956000000001, -94.883376 32.382542000000015, -94.926917 32.434725, -95.121509 32.43789900000001, -95.15704 32.44866599999999, -95.278189 32.45231299999996, -95.34742 32.468934000000004, -95.461222 32.47065799999999, -95.68708 32.51478199999999, -95.902654 32.59769900000002, -96.271644 32.700192999999985, -96.358899 32.739709000000005, -96.447103 32.742281999999996, -96.493078 32.77270499999997, -96.676544 32.799724999999995, -96.76073 32.790606000000025, -96.774322 32.77359500000002)"
sutterCA,fresnoCA,"LINESTRING (-121.688215 39.03444299999999, -121.689681 39.00353400000001, -121.62680100000001 38.99735299999998, -121.606097 38.916922, -121.54454000000001 38.852605, -121.540103 38.666742000000006, -121.50435 38.59877300000001, -121.512049 38.56766799999999, -121.47531299999999 38.558093, -121.26369900000002 38.206831, -121.25787500000001 38.00396000000002, -121.21662799999999 37.82320900000002, -121.18600800000002 37.77956400000001, -121.027649 37.663276999999994, -120.893422 37.538187, -120.86286700000001 37.480533999999984, -120.803906 37.45550700000002, -120.736276 37.390024000000004, -120.43755 37.27464100000002, -119.816588 36.740005999999994, -119.64114600000002 36.754946999999994)"
lubbockTX,baylorTX,"LINESTRING (-101.82014184923104 33.612810988389604, -101.791597 33.59986700000002, -101.734368 33.64654099999997, -101.683221 33.66668000000001, -101.366934 33.67419199999999, -101.307376 33.659997999999995, -101.201138 33.657326999999995, -101.066252 33.683263, -101.001156 33.684196000000014, -100.933956 33.644338999999995, -100.85569039310727 33.61979797668506, -100.819647 33.626195, -100.498286 33.60174299999997, -100.42948 33.623862, -100.34373500000001 33.633668000000014, -100.317785 33.600644, -100.20483700000001 33.568691000000015, -100.091631 33.549508, -99.976409 33.58227699999999, -99.70972900000001 33.588049000000005, -99.56870900000001 33.633797, -99.316413 33.595658, -99.234503 33.59588499999999, -99.2337 33.610628, -99.210454 33.61036300000001)"
