hub,type,latitude,longitude,status,build_smr-noCCS,build_smr-low,build_smr-high,build_smr-high-ptc,build_electrolyzer,build_electrolyzer-RE,transportationFuel_tonnesperday,transportationFuel_carbonSensitive_tonnesperday,industrialFuel_tonnesperday,existing_tonnesperday,ng_usd_per_mmbtu,e_usd_per_kwh,capital_pm,water_usd_per_L
trinityCA,county,40.64754081,-123.1040176,0,0,1,1,1,1,1,0,0,0,0,4.656782291,0.14,0.971240332,0.0033
sutterCA,county,39.03361022,-121.6882005,0,0,1,1,1,1,1,0,0,0,0,4.15003141,0.14,0.914867284,0.0033
alamedaCA,county,37.64275382,-121.8775366,0,0,1,1,1,1,1,0,0,0,0,3.999457804,0.14,0.9286333,0.0033
fresnoCA,county,36.7542967,-119.641139,0,0,1,1,1,1,1,0,0,0,0,4.138141751,0.14,0.915865448,0.0033
coconinoAZ,county,35.84145071,-111.759932,0,0,1,1,1,1,1,0,0,0,0,4.195583394,0.14,0.919406954,0.0027
mckinleyNM,county,35.57978793,-108.2602922,0,0,1,1,1,1,1,0,0,0,0,4.073876451,0.14,0.924616394,0.004
sanMiguelNM,county,35.48868267,-104.8042461,0,0,1,1,1,1,1,0,0,0,0,4.435595592,0.14,0.955274908,0.004
sanBernardinoCA,county,34.84387259,-116.1759926,0,0,1,1,1,1,1,0,0,0,0,4.021041851,0.14,0.926566559,0.0033
carsonTX,county,35.40342547,-101.3557841,0,0,1,1,1,1,1,0,0,0,0,4.118744245,0.14,0.938876459,0.0024
laPazAZ,county,33.73341025,-113.9782551,0,0,1,1,1,1,1,0,0,0,0,4.191976485,0.14,0.923345816,0.0027
chavesNM,county,33.36674668,-104.4555334,0,0,1,1,1,1,1,0,0,0,0,4.194327304,0.14,0.922991994,0.004
lubbockTX,county,33.6126553,-101.820058,0,0,1,1,1,1,1,0,0,0,0,4.197319254,0.14,0.922541675,0.0024
baylorTX,county,33.61483029,-99.21047316,0,0,1,1,1,1,1,0,0,0,0,4.198174097,0.14,0.922413012,0.0024
sierraNM,county,33.13291115,-107.182938,0,0,1,1,1,1,1,0,0,0,0,4.200311205,0.14,0.922091356,0.004
losAngelesCA,county,34.32209948,-118.2225598,0,0,1,1,1,1,1,0,0,0,0,4.200524916,0.14,0.92205919,0.0033
