arc_start,arc_end,dist_capacity,dist_cost_capital,dist_cost_fixed,dist_cost_variable,dist_flowLimit,dist_h
102098_center_highPurity,102098_dist_pipelineHighPurity,1.0,0.0,0.0,0.0,99999999.9,1174.1307690031979
102098_center_lowPurity,102098_converter_purification,1.0,0.0,0.0,0.0,99999999.9,1174.1307690031979
102098_converter_fuelDispenserPipeline,102098_demand_fuelStation,1.0,0.0,0.0,0.0,99999999.9,1174.1307690031979
102098_converter_purification,102098_center_highPurity,1.0,0.0,0.0,0.0,99999999.9,1174.1307690031979
102098_demand_fuelStation,102098_demandSector_transportationFuel,1.0,0.0,0.0,0.0,99999999.9,1174.1307690015606
102098_dist_pipelineHighPurity,102098_converter_fuelDispenserPipeline,1.0,0.0,0.0,0.0,999999.0,1174.1307690031979
102098_production_smr-low,102098_center_lowPurity,1.0,0.0,0.0,0.0,99999999.9,1174.1307690024998
102557_center_highPurity,102557_dist_pipelineHighPurity,1.0,0.0,0.0,0.0,99999999.9,403.231737253396
102557_center_lowPurity,102557_converter_purification,1.0,0.0,0.0,0.0,99999999.9,403.231737253396
102557_converter_fuelDispenserPipeline,102557_demand_fuelStation,1.0,0.0,0.0,0.0,99999999.9,403.23173725327104
102557_converter_purification,102557_center_highPurity,1.0,0.0,0.0,0.0,99999999.9,403.231737253396
102557_demand_fuelStation,102557_demandSector_transportationFuel,1.0,0.0,0.0,0.0,99999999.9,403.23173725163383
102557_dist_pipelineHighPurity,102557_converter_fuelDispenserPipeline,1.0,0.0,0.0,0.0,999999.0,403.23173725327104
102557_production_smr-low,102557_center_lowPurity,1.0,0.0,0.0,0.0,99999999.9,403.2317372534877
102826_center_highPurity,102826_dist_pipelineHighPurity,1.0,0.0,0.0,0.0,99999999.9,303.59399912220647
102826_center_lowPurity,102826_converter_purification,1.0,0.0,0.0,0.0,99999999.9,303.59399912220647
102826_converter_fuelDispenserPipeline,102826_demand_fuelStation,1.0,0.0,0.0,0.0,99999999.9,303.59399912220647
102826_converter_purification,102826_center_highPurity,1.0,0.0,0.0,0.0,99999999.9,303.59399912220647
102826_demand_fuelStation,102826_demandSector_transportationFuel,1.0,0.0,0.0,0.0,99999999.9,303.59399912220647
102826_dist_pipelineHighPurity,102826_converter_fuelDispenserPipeline,1.0,0.0,0.0,0.0,999999.0,303.59399912220647
102826_production_smr-low,102826_center_lowPurity,1.0,0.0,0.0,0.0,99999999.9,303.59399912220647
106128_center_highPurity,106128_dist_pipelineHighPurity,1.0,0.0,0.0,0.0,99999999.9,232.29956687476727
106128_center_lowPurity,106128_converter_purification,1.0,0.0,0.0,0.0,99999999.9,232.29956687476727
106128_converter_fuelDispenserPipeline,106128_demand_fuelStation,1.0,0.0,0.0,0.0,99999999.9,394.2995668750001
106128_converter_purification,106128_center_highPurity,1.0,0.0,0.0,0.0,99999999.9,232.29956687476727
106128_demand_fuelStation,106128_demandSector_transportationFuel,1.0,0.0,0.0,0.0,99999999.9,394.2995668750001
